OF0520RP                              2.00.00.059    MOF\OF05                      06/11/19  14:28:37
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:55
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:56
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
RIAPI002                              2.00.00.002    of0520f                       06/11/19  14:28:57
OF0520C                               2.00.00.040    of0520d                       06/11/19  14:28:57
UT-TRFRRP                             2.00.00.008    of0520c                       06/11/19  14:28:57
