Estabelecimento	Indicador de Operação	Indicador de Emitente	Data	Série	Número do Documento	Modelo	Participante	Valor Total	Inscrição Estab	Modal Transporte	Código Origem Município	Código Destino Município	Tipo Inscrição
1	E	TERC	8/2/2011	1	0001302	01	12704	0.00					
1	E	TERC	8/2/2011	UN	0010811	01	12704	0.00					
1	E	TERC	8/2/2011	5	0020800	01	81	0.00					
1	E	TERC	8/2/2011	1	0020801	00	90000033	0.00					
1	E	TERC	8/2/2011	1	0020803	00	90000033	0.00					
1	E	TERC	8/2/2011	UN	0020811	01	12704	0.00					
1	S	PROP	8/2/2011	5	0076180	01	70	0.00					
1	S	PROP	8/2/2011	5	0076181	01	70	0.00					
1	S	PROP	8/2/2011	5	0076182	01	70	0.00					
1	S	PROP	8/2/2011	5	0076183	01	81	0.00					
1	S	PROP	8/2/2011	5	0076184	01	12704	0.00					
1	S	PROP	8/2/2011	5	0076185	01	12704	0.00					
1	S	PROP	8/2/2011	5	0076186	01	12704	0.00					
1	S	PROP	8/2/2011	5	0076187	01	70	0.00					
1	S	PROP	8/2/2011	5	0076188	01	90000033	0.00					
1	S	PROP	8/2/2011	5	0076189	01	70	0.00					
1	S	PROP	8/2/2011	5	0076191	01	12704	0.00					
1	S	PROP	8/2/2011	5	0076192	01	12704	0.00					
1	S	PROP	8/2/2011	5	0076193	01	70	0.00					
1	S	PROP	8/2/2011	5	0076193	01	70	0.00					
1	S	PROP	8/2/2011	5	0076194	01	70	0.00					
1	S	PROP	8/2/2011	5	0076195	01	70	0.00					
1	E	TERC	8/2/2011	GRAOS	0208001	01	90000032	0.00					
1	E	TERC	8/2/2011	GRAOS	0208002	01	90000032	0.00					
1	E	TERC	8/2/2011	GRAOS	0208003	01	90000032	0.00					
1	E	TERC	8/2/2011	GRAOS	0208004	01	90000032	0.00					
1	E	TERC	8/2/2011	GRAOS	0208006	01	90000032	0.00					
1	E	TERC	8/2/2011	GRAOS	0208007	01	90000032	0.00					
1	E	TERC	8/2/2011	1	0208111	00	90000033	0.00					
1	E	TERC	8/2/2011	5	0208112	00	90000033	0.00					
1	S	PROP	8/2/2011	11	0290836	55	70	0.00					
1	S	PROP	8/2/2011	11	0290837	55	70	0.00					
1	S	PROP	8/2/2011	11	0290838	55	70	0.00					
1	S	PROP	8/2/2011	11	0290839	55	13	0.00					
1	E	TERC	8/3/2011	1	0001500	01	12704	0.00					
1	E	TERC	8/3/2011	GRAOS	0014141	00	90000033	0.00					
1	S	PROP	8/3/2011	5	0076196	01	70	0.00					
1	S	PROP	8/3/2011	5	0076197	01	70	0.00					
1	E	TERC	8/3/2011	UN	0077777	01	12704	0.00					
1	E	TERC	8/3/2011	UN	0088881	01	12704	0.00					
1	E	TERC	8/3/2011	5	0308111	01	90000033	0.00					
1	S	PROP	8/3/2011	5	3032014	06	13	0.00					
1	S	PROP	8/3/2011	5	4032014	28	13	0.00					
1	S	PROP	8/3/2011	5	5032014	06	13	0.00					
1	S	PROP	8/3/2011	5	6032014	27	13	0.00		1			
1	E	TERC	8/4/2011	1	0001305	01	12704	0.00					
1	E	TERC	8/4/2011	1	0001307	01	12704	0.00					
1	E	TERC	8/4/2011	1	0001308	01	12704	0.00					
1	E	TERC	8/4/2011	1	0001309	01	12704	0.00					
1	E	TERC	8/4/2011	UN	0004100	01	1438010070113	0.00					
1	E	TERC	8/4/2011	5	0040800	01	70	0.00					
1	E	TERC	8/4/2011	5	0040800	01	81	0.00					
1	E	TERC	8/4/2011	1	0040801	00	90000033	0.00					
1	E	TERC	8/4/2011	1	0040802	00	90000033	0.00					
1	E	TERC	8/4/2011	1	0040803	00	90000033	0.00					
1	E	TERC	8/4/2011	UN	0040811	01	12704	0.00					
1	E	TERC	8/4/2011	1	0080402	00	90000033	0.00					
1	S	PROP	8/4/2011	11	0290842	55	70	0.00					
1	S	PROP	8/4/2011	11	0290843	55	70	0.00					
1	S	PROP	8/4/2011	11	0290844	55	81	0.00					
1	E	PROP	8/5/2011	GRAOS	0000016	01	90000032	0.00					
1	E	TERC	8/5/2011	1	0000200	01	13	0.00					
1	E	TERC	8/5/2011	1	0001003	01	1438010070113	0.00					
1	E	TERC	8/5/2011	1	0001501	01	12704	0.00					
1	E	TERC	8/5/2011	1	0001503	01	12704	0.00					
1	E	TERC	8/5/2011	GRAOS	0012345	00	90000033	0.00					
1	E	TERC	8/5/2011	1	0050801	00	90000033	0.00					
1	E	TERC	8/5/2011	5	0050802	00	90000033	0.00					
1	E	TERC	8/5/2011	UN	0050810	01	40001	0.00					
1	E	TERC	8/5/2011	UN	0050811	01	12704	0.00					
1	E	TERC	8/5/2011	UN	0050811	01	40001	0.00					
1	E	TERC	8/5/2011	UN	0088883	01	12704	0.00					
1	E	TERC	8/5/2011	UN	0088884	01	12704	0.00					
1	E	TERC	8/5/2011	GRAOS	0108002	01	90000032	0.00					
1	E	TERC	8/5/2011	GRAOS	0108003	01	90000032	0.00					
1	E	TERC	8/5/2011	GRAOS	0108005	01	90000032	0.00					
1	E	TERC	8/5/2011	UN	0112233	01	255	0.00					
1	E	TERC	8/5/2011	UN	0123456	55	1438010070113	0.00					
1	S	PROP	8/5/2011	11	0290845	55	70	0.00					
1	E	TERC	8/5/2011	GRAOS	0508001	01	90000032	0.00					
1	E	TERC	8/5/2011	GRAOS	0508002	01	90000032	0.00					
1	E	TERC	8/5/2011	GRAOS	0508003	01	90000032	0.00					
1	E	TERC	8/5/2011	GRAOS	0508004	01	90000032	0.00					
1	E	TERC	8/5/2011	GRAOS	0508005	01	90000032	0.00					
1	E	TERC	8/8/2011	UN	0000005	55	1438010070113	0.00					
1	E	TERC	8/8/2011	1	0001311	01	12704	0.00					
1	E	TERC	8/8/2011	1	0001312	01	12704	0.00					
1	E	TERC	8/8/2011	1	0001314	01	12704	0.00					
1	E	TERC	8/8/2011	UN	0008100	01	1438010070113	0.00					
1	E	TERC	8/8/2011	UN	0055551	01	12704	0.00					
1	E	TERC	8/8/2011	1	0080801	00	90000033	0.00					
1	E	TERC	8/8/2011	1	0080802	00	90000033	0.00					
1	E	TERC	8/8/2011	5	0080803	00	90000033	0.00					
1	E	TERC	8/8/2011	5	0080804	00	90000033	0.00					
1	E	TERC	8/8/2011	UN	0080811	01	12704	0.00					
1	E	TERC	8/8/2011	GRAOS	0808001	01	90000032	0.00					
1	E	TERC	8/9/2011	1	0003001	01	4	0.00					
1	E	TERC	8/9/2011	1	0004001	55	13	0.00					
1	E	TERC	8/9/2011	1	0007177	01	90000033	0.00					
1	E	TERC	8/9/2011	1	0008188	01	90000033	0.00					
1	E	TERC	8/9/2011	1	0009199	01	90000033	0.00					
1	E	TERC	8/9/2011	UN	0070811	01	12704	0.00					
1	E	TERC	8/9/2011	1	0090801	00	90000033	0.00					
1	E	TERC	8/9/2011	1	0090802	00	90000033	0.00					
1	E	TERC	8/9/2011	UN	0090811	01	12704	0.00					
1	S	PROP	8/9/2011	11	0290846	55	70	0.00					
1	S	PROP	8/9/2011	11	0290847	01	4	0.00					
1	S	PROP	8/9/2011	11	0290848	01	1438010070113	0.00					
1	S	PROP	8/9/2011	11	0290849	01	13	0.00					
1	S	PROP	8/9/2011	11	0290850	01	13	0.00					
1	S	PROP	8/9/2011	11	0290851	01	70	0.00					
1	S	PROP	8/9/2011	11	0290855	01	13	0.00					
1	S	PROP	8/10/2011	UN	0000011	01	1438010070113	0.00					
1	S	PROP	8/10/2011	UN	0000012	01	1438010070113	0.00					
1	E	TERC	8/10/2011	1	0000500	01	13	0.00					
1	E	TERC	8/10/2011	100	0001111	01	1438010070113	0.00					
1	E	TERC	8/10/2011	1	0001330	01	12704	0.00					
1	E	TERC	8/10/2011	1	0001334	01	12704	0.00					
1	E	TERC	8/10/2011	1	0001335	01	12704	0.00					
1	E	TERC	8/10/2011	1	0001336	01	12704	0.00					
1	E	TERC	8/10/2011	1	0001337	01	12704	0.00					
1	E	TERC	8/10/2011	1	0001340	01	12704	0.00					
1	S	PROP	8/10/2011	5	0076267	01	70	0.00					
1	S	PROP	8/10/2011	5	0076268	01	81	0.00					
1	S	PROP	8/10/2011	5	0076269	01	81	0.00					
1	S	PROP	8/10/2011	5	0076270	01	70	0.00					
1	S	PROP	8/10/2011	5	0076271	01	70	0.00					
1	S	PROP	8/10/2011	5	0076272	01	70	0.00					
1	S	PROP	8/10/2011	5	0076273	01	81	0.00					
1	S	PROP	8/10/2011	5	0076274	01	81	0.00					
1	S	PROP	8/10/2011	5	0076275	01	70	0.00					
1	S	PROP	8/10/2011	5	0076277	01	81	0.00					
1	S	PROP	8/10/2011	5	0076278	01	70	0.00					
1	S	PROP	8/10/2011	5	0076279	01	70	0.00					
1	S	PROP	8/10/2011	5	0076280	01	81	0.00					
1	E	TERC	8/10/2011	UN	0090811	01	12704	0.00					
1	E	TERC	8/10/2011	UN	0100811	01	12704	0.00					
1	E	TERC	8/10/2011	UN	9990811	01	12704	0.00					
1	E	TERC	8/11/2011	1	0001108	01	12704	0.00					
1	E	TERC	8/11/2011	1	0001345	01	12704	0.00					
1	E	TERC	8/11/2011	1	0001347	01	12704	0.00					
1	E	TERC	8/11/2011	1	0011082	01	12704	0.00					
1	E	TERC	8/11/2011	1	0110801	00	90000033	0.00					
1	E	TERC	8/11/2011	UN	0110811	01	12704	0.00					
1	E	TERC	8/11/2011	1	1234567	01	12704	0.00					
1	E	TERC	8/11/2011	UN	2736373	01	1438010070113	0.00					
1	E	TERC	8/12/2011	1	0001208	01	12704	0.00					
1	E	TERC	8/12/2011	1	0001349	01	12704	0.00					
1	E	TERC	8/12/2011	1	0001351	01	12704	0.00					
1	E	TERC	8/12/2011	1	0004589	01	13	0.00					
1	E	TERC	8/12/2011	1	0004590	01	1438010070113	0.00					
1	E	TERC	8/12/2011	UN	0008101	01	1438010070113	0.00					
1	E	TERC	8/12/2011	UN	0008103	01	1438010070113	0.00					
1	E	TERC	8/12/2011	UN	0008105	01	1438010070113	0.00					
1	S	PROP	8/12/2011	5	0076316	01	70	0.00					
1	S	PROP	8/12/2011	5	0076317	01	81	0.00					
1	S	PROP	8/12/2011	5	0076318	01	70	0.00					
1	S	PROP	8/12/2011	5	0076319	01	70	0.00					
1	S	PROP	8/12/2011	5	0076320	01	81	0.00					
1	S	PROP	8/12/2011	5	0076321	01	70	0.00					
1	S	PROP	8/12/2011	5	0076322	01	81	0.00					
1	S	PROP	8/12/2011	5	0076323	01	81	0.00					
1	S	PROP	8/12/2011	5	0076324	01	81	0.00					
1	S	PROP	8/12/2011	5	0076325	01	13	0.00					
1	S	PROP	8/12/2011	5	0076326	01	70	0.00					
1	S	PROP	8/12/2011	5	0076327	01	70	0.00					
1	S	PROP	8/12/2011	5	0076328	01	70	0.00					
1	S	PROP	8/12/2011	5	0076329	01	1438010070113	0.00					
1	S	PROP	8/12/2011	5	0076330	01	70	0.00					
1	S	PROP	8/12/2011	5	0076331	01	70	0.00					
1	S	PROP	8/12/2011	5	0076332	01	14	0.00					
1	S	PROP	8/12/2011	5	0076333	01	1438010070113	0.00					
1	S	PROP	8/12/2011	5	0076334	01	1438010070113	0.00					
1	S	PROP	8/12/2011	5	0076335	01	13	0.00					
1	S	PROP	8/12/2011	5	0076336	01	12704	0.00					
1	S	PROP	8/12/2011	5	0076337	01	13	0.00					
1	S	PROP	8/12/2011	5	0076338	01	70	0.00					
1	S	PROP	8/12/2011	5	0076339	01	13	0.00					
1	S	PROP	8/12/2011	5	0076340	01	12704	0.00					
1	S	PROP	8/12/2011	5	0076341	01	1438010070113	0.00					
1	S	PROP	8/12/2011	5	0076342	01	13	0.00					
1	S	PROP	8/12/2011	5	0076343	01	14	0.00					
1	E	TERC	8/12/2011	UN	0120811	01	12704	0.00					
1	E	TERC	8/12/2011	UN	0120812	01	12704	0.00					
1	E	TERC	8/12/2011	1	12345678	01	12704	0.00					
1	E	TERC	8/12/2011	UN	9120812	01	12704	0.00					
1	S	PROP	8/15/2011	11	0290852	01	13	0.00					
1	S	PROP	8/15/2011	11	0290853	01	1438010070113	0.00					
1	S	PROP	8/15/2011	11	0290854	01	1438010070113	0.00					
1	E	TERC	8/16/2011	1	0000896	01	13	0.00					
1	E	TERC	8/16/2011	1	0001353	01	12704	0.00					
1	E	TERC	8/16/2011	1	0001355	01	12704	0.00					
1	E	TERC	8/16/2011	1	0001357	01	12704	0.00					
1	E	TERC	8/16/2011	1	0001359	01	12704	0.00					
1	E	TERC	8/16/2011	1	0160801	01	12704	0.00					
1	E	TERC	8/16/2011	1	0160810	01	12704	0.00					
1	E	TERC	8/16/2011	UN	0160811	01	12704	0.00					
1	E	PROP	8/17/2011	GRAOS	0000043	01	90000035	0.00					
1	E	PROP	8/17/2011	GRAOS	0000044	01	90000035	0.00					
1	E	PROP	8/17/2011	GRAOS	0000045	01	90000035	0.00					
1	E	PROP	8/17/2011	GRAOS	0000046	01	90000035	0.00					
1	E	TERC	8/17/2011	GRAOS	0000123	00	90000035	0.00					
1	E	TERC	8/17/2011	GRAOS	0000345	00	90000035	0.00					
1	E	TERC	8/17/2011	1	0001362	01	12704	0.00					
1	E	TERC	8/17/2011	1	0001363	01	12704	0.00					
1	E	TERC	8/17/2011	1	0001364	01	12704	0.00					
1	E	TERC	8/17/2011	1	0001365	01	12704	0.00					
1	E	TERC	8/17/2011	1	0001370	01	12704	0.00					
1	E	TERC	8/17/2011	1	0001374	01	12704	0.00					
1	E	TERC	8/17/2011	1	0001375	01	12704	0.00					
1	E	TERC	8/17/2011	UN	0001802	01	1438010070113	0.00					
1	E	TERC	8/17/2011	UN	0001803	01	1438010070113	0.00					
1	E	TERC	8/17/2011	GRAOS	0008765	00	90000035	0.00					
1	E	TERC	8/17/2011	UN	0160810	01	14	0.00					
1	E	TERC	8/17/2011	1	0170801	00	90000033	0.00					
1	E	TERC	8/17/2011	1	1708100	01	12704	0.00					
1	E	TERC	8/17/2011	1	1708101	01	12704	0.00					
1	E	TERC	8/18/2011	1	0001377	01	12704	0.00					
1	E	TERC	8/18/2011	1	0001378	01	12704	0.00					
1	E	TERC	8/18/2011	UN	0007458	01	1	0.00					
1	E	TERC	8/18/2011	UN	0150811	01	14	0.00					
1	E	TERC	8/18/2011	UN	0150815	01	14	0.00					
1	E	TERC	8/18/2011	UN	0180811	01	12704	0.00					
1	E	TERC	8/18/2011	1	0201701	01	13	0.00					
1	E	TERC	8/18/2011	1	0201703	01	13	0.00					
1	E	TERC	8/19/2011	1	0001379	01	12704	0.00					
1	S	PROP	8/19/2011	5	0076500	01	70	0.00					
1	S	PROP	8/19/2011	5	0076501	01	70	0.00					
1	S	PROP	8/19/2011	5	0076502	01	70	0.00					
1	S	PROP	8/19/2011	5	0076503	01	70	0.00					
1	S	PROP	8/19/2011	5	0076504	01	70	0.00					
1	S	PROP	8/19/2011	5	0076505	01	13	0.00					
1	S	PROP	8/19/2011	5	0076506	01	70	0.00					
1	S	PROP	8/19/2011	5	0076507	01	70	0.00					
1	S	PROP	8/19/2011	5	0076508	01	70	0.00					
1	S	PROP	8/19/2011	5	0076509	01	70	0.00					
1	S	PROP	8/19/2011	5	0076510	01	70	0.00					
1	S	PROP	8/19/2011	5	0076511	01	70	0.00					
1	S	PROP	8/19/2011	5	0076512	01	70	0.00					
1	S	PROP	8/19/2011	5	0076513	01	13	0.00					
1	S	PROP	8/19/2011	5	0076514	01	70	0.00					
1	S	PROP	8/19/2011	5	0076515	01	14	0.00					
1	S	PROP	8/19/2011	5	0076516	01	70	0.00					
1	S	PROP	8/19/2011	5	0076517	01	70	0.00					
1	S	PROP	8/19/2011	5	0076518	01	70	0.00					
1	S	PROP	8/19/2011	5	0076519	01	70	0.00					
1	S	PROP	8/19/2011	5	0076520	01	70	0.00					
1	S	PROP	8/19/2011	5	0076521	01	70	0.00					
1	S	PROP	8/19/2011	5	0076522	01	70	0.00					
1	E	TERC	8/19/2011	UN	0190811	01	12704	0.00					
1	E	TERC	8/19/2011	UN	1908100	01	12704	0.00					
1	E	TERC	8/19/2011	UN	1908101	01	12704	0.00					
1	E	TERC	8/19/2011	UN	1908150	01	12704	0.00					
1	E	TERC	8/19/2011	UN	1908151	01	12704	0.00					
1	S	PROP	8/20/2011	5	0071101	55	13	0.00					
1	S	PROP	8/20/2011	5	0071104	55	13	0.00					
1	S	PROP	8/20/2011	5	0071105	55	13	0.00					
1	S	PROP	8/20/2011	5	1032014	07	18	0.00		1			
1	S	PROP	8/20/2011	5	20161101	01	13	0.00					
1	S	PROP	8/20/2011	5	20161102	01	57	0.00					
1	S	PROP	8/20/2011	5	7032014	21	13	0.00					
1	S	PROP	8/20/2011	5	8032014	02	13	0.00					
1	S	PROP	8/20/2011	5	9032014	02	18	0.00					
1	E	TERC	8/22/2011	1	0001383	01	12704	0.00					
1	E	TERC	8/22/2011	1	0001386	01	12704	0.00					
1	E	TERC	8/22/2011	1	0001388	01	12704	0.00					
1	E	TERC	8/22/2011	1	0001389	01	12704	0.00					
1	E	TERC	8/22/2011	1	0001390	01	12704	0.00					
1	E	TERC	8/22/2011	1	0001391	01	12704	0.00					
1	E	TERC	8/22/2011	UN	0220811	01	1	0.00					
1	E	TERC	8/22/2011	UN	0220811	01	12704	0.00					
1	E	TERC	8/22/2011	1	2202100	01	12704	0.00					
1	E	TERC	8/22/2011	UN	2208100	01	12704	0.00					
1	E	TERC	8/22/2011	UN	2208150	01	12704	0.00					
1	E	TERC	8/22/2011	UN	2208151	01	12704	0.00					
1	E	TERC	8/22/2011	1	2208200	01	12704	0.00					
1	E	TERC	8/22/2011	UN	2208200	01	12704	0.00					
1	E	TERC	8/22/2011	UN	6220911	01	12704	0.00					
1	E	TERC	8/23/2011	1	0000600	01	4	0.00					
1	E	TERC	8/23/2011	1	0001391	01	12704	0.00					
1	E	TERC	8/23/2011	1	0001392	01	12704	0.00					
1	E	TERC	8/23/2011	1	0001394	01	12704	0.00					
1	E	TERC	8/23/2011	1	0001396	01	12704	0.00					
1	E	TERC	8/23/2011	1	0001397	01	12704	0.00					
1	E	TERC	8/23/2011	1	0001399	01	12704	0.00					
1	E	TERC	8/23/2011	1	0001400	01	12704	0.00					
1	E	TERC	8/23/2011	1	0003456	00	90000033	0.00					
1	E	TERC	8/23/2011	1	0003457	00	90000033	0.00					
1	E	TERC	8/23/2011	1	0003458	00	90000033	0.00					
1	E	TERC	8/23/2011	1	0003459	00	90000033	0.00					
1	E	TERC	8/23/2011	1	0003460	00	90000033	0.00					
1	E	TERC	8/23/2011	1	0003461	00	90000033	0.00					
1	E	TERC	8/23/2011	1	0201701	01	1	0.00					
1	E	TERC	8/23/2011	1	0201704	01	13	0.00					
1	E	TERC	8/23/2011	UN	0230811	01	12704	0.00					
1	E	TERC	8/24/2011	1	0001401	01	12704	0.00					
1	E	TERC	8/24/2011	1	0001402	01	12704	0.00					
1	E	TERC	8/24/2011	1	0001403	01	12704	0.00					
1	E	TERC	8/24/2011	1	0001405	01	12704	0.00					
1	E	TERC	8/24/2011	1	0001406	01	12704	0.00					
1	E	TERC	8/24/2011	1	0001407	01	12704	0.00					
1	E	TERC	8/24/2011	UN	0240811	01	12704	0.00					
1	E	TERC	8/24/2011	UN	1234567	01	12704	0.00					
1	E	TERC	8/24/2011	UN	2408111	01	12704	0.00					
1	E	TERC	8/25/2011	1	0000601	01	1	0.00					
1	E	TERC	8/25/2011	1	0001412	01	12704	0.00					
1	E	TERC	8/25/2011	1	0001413	01	12704	0.00					
1	E	TERC	8/25/2011	1	0001414	01	12704	0.00					
1	E	TERC	8/25/2011	1	0001415	01	12704	0.00					
1	E	TERC	8/25/2011	UN	0025081	01	1	0.00					
1	E	TERC	8/25/2011	UN	0160815	55	1	0.00					
1	E	TERC	8/25/2011	UN	2508001	01	12704	0.00					
1	E	TERC	8/26/2011	1	0001148	55	1	0.00					
1	E	TERC	8/26/2011	1	0001153	55	1	0.00					
1	E	TERC	8/26/2011	1	0001417	01	12704	0.00					
1	E	TERC	8/26/2011	1	0001418	01	12704	0.00					
1	E	TERC	8/26/2011	1	0001419	01	12704	0.00					
1	E	TERC	8/26/2011	1	0001420	01	12704	0.00					
1	E	TERC	8/26/2011	1	0001421	01	12704	0.00					
1	E	TERC	8/26/2011	1	0001432	01	12704	0.00					
1	E	TERC	8/29/2011	1	0001600	01	12704	0.00					
1	E	TERC	8/29/2011	1	0001601	01	12704	0.00					
1	E	TERC	8/30/2011	UN	0000547	01	1	0.00					
1	E	TERC	8/30/2011	1	0001603	01	12704	0.00					
1	E	TERC	8/30/2011	GRAOS	0002345	00	90000035	0.00					
1	E	TERC	8/30/2011	UN	0003008	01	1	0.00					
1	E	TERC	8/30/2011	UN	0030082	01	1	0.00					
1	E	TERC	8/30/2011	UN	0030087	01	1	0.00					
1	E	TERC	8/30/2011	UN	0300811	01	12704	0.00					
1	E	TERC	8/30/2011	UN	9300811	01	12704	0.00					
1	E	TERC	8/31/2011	1	0001444	01	12704	0.00					
1	E	TERC	8/31/2011	1	0001445	01	12704	0.00					
1	E	TERC	8/31/2011	1	0001446	01	12704	0.00					
1	E	TERC	8/31/2011	1	0001447	01	12704	0.00					
1	E	TERC	8/31/2011	1	0001448	01	12704	0.00					
1	E	TERC	8/31/2011	1	0001449	01	12704	0.00					
1	E	TERC	8/31/2011	UN	0003208	01	1	0.00					
1	E	TERC	8/31/2011	UN	0003308	01	1	0.00					
1	E	TERC	8/31/2011	UN	0003408	01	1	0.00					
1	E	TERC	8/31/2011	UN	0032081	01	1	0.00					
1	S	PROP	8/31/2011	5	0076730	01	83	0.00					
1	S	PROP	8/31/2011	11	0290857	01	13	0.00					
1	E	TERC	8/31/2011	5	0310801	00	90000033	0.00					
1	E	TERC	8/31/2011	UN	0340801	01	1	0.00					
1	E	TERC	8/31/2011	UN	3108001	01	12704	0.00					
