Estabelecimento	Código Observação	Texto Complementar
1	85	"CONFORME DI: 180853 DI EMITIDA EM: 15/08/11 - EMBARQUE: 180853 EMB -VALOR PIS: 0,00VALOR COFINS: 0,00"
1	86	"ICMS SUBSTITUICAO =          413,42"
1	87	"ICMS SUBSTITUICAO =          215,00"
1	88	NF 0076501  19/08/2011
1	89	NF 0076508  19/08/2011
1	90	NF 0076514  19/08/2011
1	91	NF 0076519  19/08/2011
1	92	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 1908100 SERIE: UN DE 19/08/11
1	93	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 1908150 SERIE: UN DE 19/08/11
1	94	OBSERVACAO DA DOCUMENTO FISCAL
1	95	"SIMPLES FATURAMENTO - IPI:     4,00"
1	96	"SIMPLES FATURAMENTO - IPI:    16,63"
1	97	"SIMPLES FATURAMENTO - IPI:    12,00"
1	98	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001388 SERIE: 1 DE 22/08/11
1	99	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001390 SERIE: 1 DE 22/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001390 SERIE: 1 DE 22/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001390 SERIE: 1 DE 22/08/11
1	100	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 2208150 SERIE: UN DE 22/08/11
1	101	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 2202100 SERIE: 1 DE 22/08/11
1	102	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 2208100 SERIE: UN DE 22/08/11
1	103	"SIMPLES FATURAMENTO - IPI:     7,50"
1	104	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001391 SERIE: 1 DE 23/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001391 SERIE: 1 DE 23/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001391 SERIE: 1 DE 23/08/11
1	105	"SIMPLES FATURAMENTO - IPI:     2,70"
1	106	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001396 SERIE: 1 DE 23/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001396 SERIE: 1 DE 23/08/11
1	107	"SIMPLES FATURAMENTO - IPI:     4,50"
1	108	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001399 SERIE: 1 DE 23/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001399 SERIE: 1 DE 23/08/11
1	109	"ICMS SUBSTITUICAO =          189,00"
1	110	"ICMS SUBSTITUICAO =          821,88"
1	111	"SIMPLES FATURAMENTO - IPI:     0,05"
1	112	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001401 SERIE: 1 DE 24/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001401 SERIE: 1 DE 24/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001401 SERIE: 1 DE 24/08/11
1	113	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001405 SERIE: 1 DE 24/08/11
1	114	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001270 SERIE: 1 DE 26/07/11
1	115	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001413 SERIE: 1 DE 25/08/11
1	116	"CONFORME DI: 180854 DI - 15/08/11 - EMBARQUE: 180854 EMB -VALOR PIS: 0,00VALOR COFINS: 0,00"
1	117	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001418 SERIE: 1 DE 26/08/11
1	118	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001420 SERIE: 1 DE 26/08/11
1	119	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001600 SERIE: 1 DE 30/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001600 SERIE: 1 DE 30/08/11
1	120	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001444 SERIE: 1 DE 31/08/11
1	121	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001446 SERIE: 1 DE 31/08/11
1	122	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001448 SERIE: 1 DE 31/08/11NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0001448 SERIE: 1 DE 31/08/11
1	123	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0003208 SERIE: UN DE 31/08/11
1	124	NOTA FISCAL DE SIMPLES FATURAMENTO NR: 0003308 SERIE: UN DE 31/08/11
