Estabelecimento	Data	Série	Número do Documento	Participante	CFOP	Tributo	CST	Alíquota	Base de Cálculo	Valor Tributado	Valor Isento	Valor Outros
1	8/1/2011	5	0076178	12704	5201	IPI	51	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076178	12704	5201	PIS	08	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076178	12704	5201	COFINS	08	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	5	0076179	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/1/2011	UN	0076668	12704	1101	ICMS	00	17.00	10.00	1.70	0.00	0.00
1	8/1/2011	UN	0076668	12704	1101	IPI	49	0.00	0.00	0.00	0.00	10.00
1	8/1/2011	UN	0076668	12704	1101	PIS	06	0.00	10.00	0.00	0.00	0.00
1	8/1/2011	UN	0076668	12704	1101	COFINS	06	0.00	10.00	0.00	0.00	0.00
1	8/1/2011	GRAOS	0108001	90000032	2202	ICMS	40	0.00	0.00	0.00	3.46	0.00
1	8/1/2011	GRAOS	0108001	90000032	2202	IPI	02	0.00	0.00	0.00	3.46	0.00
1	8/1/2011	GRAOS	0108001	90000032	2202	PIS	06	0.00	3.46	0.00	0.00	0.00
1	8/1/2011	GRAOS	0108001	90000032	2202	COFINS	06	0.00	3.46	0.00	0.00	0.00
1	8/1/2011	1	0108004	90000032		ICMS	40	0.00	0.00	0.00	670.00	0.00
1	8/1/2011	1	0108004	90000032		IPI	02	0.00	0.00	0.00	670.00	0.00
1	8/1/2011	1	0108004	90000032		PIS	06	0.00	670.00	0.00	0.00	0.00
1	8/1/2011	1	0108004	90000032		COFINS	06	0.00	670.00	0.00	0.00	0.00
1	8/1/2011	GRAOS	0108005	90000032		ICMS	40	0.00	0.00	0.00	670.00	0.00
1	8/1/2011	GRAOS	0108005	90000032		IPI	02	0.00	0.00	0.00	670.00	0.00
1	8/1/2011	GRAOS	0108005	90000032		PIS	06	0.00	670.00	0.00	0.00	0.00
1	8/1/2011	GRAOS	0108005	90000032		COFINS	06	0.00	670.00	0.00	0.00	0.00
1	8/1/2011	GRAOS	0108006	90000032	2202	ICMS	40	0.00	0.00	0.00	0.67	0.00
1	8/1/2011	GRAOS	0108006	90000032	2202	IPI	02	0.00	0.00	0.00	0.67	0.00
1	8/1/2011	GRAOS	0108006	90000032	2202	PIS	06	0.00	0.67	0.00	0.00	0.00
1	8/1/2011	GRAOS	0108006	90000032	2202	COFINS	06	0.00	0.67	0.00	0.00	0.00
1	8/1/2011	GRAOS	0801002	90000032	2202	ICMS	40	0.00	0.00	0.00	3.35	0.00
1	8/1/2011	GRAOS	0801002	90000032	2202	IPI	02	0.00	0.00	0.00	3.35	0.00
1	8/1/2011	GRAOS	0801002	90000032	2202	PIS	06	0.00	3.35	0.00	0.00	0.00
1	8/1/2011	GRAOS	0801002	90000032	2202	COFINS	06	0.00	3.35	0.00	0.00	0.00
1	8/1/2011	GRAOS	0801003	90000032	2202	ICMS	40	0.00	0.00	0.00	3.35	0.00
1	8/1/2011	GRAOS	0801003	90000032	2202	IPI	02	0.00	0.00	0.00	3.35	0.00
1	8/1/2011	GRAOS	0801003	90000032	2202	PIS	06	0.00	3.35	0.00	0.00	0.00
1	8/1/2011	GRAOS	0801003	90000032	2202	COFINS	06	0.00	3.35	0.00	0.00	0.00
1	8/1/2011	15	1234567894	70		ICMS	00	25.00	556.26	139.07	0.00	0.00
1	8/1/2011	15	1234567894	70		IPI	51	0.00	0.00	0.00	0.00	530.00
1	8/1/2011	15	1234567894	70		IPI	50	8.00	26.26	2.10	0.00	0.00
1	8/1/2011	15	1234567894	70		PIS	01	0.00	556.26	9.18	0.00	0.00
1	8/1/2011	15	1234567894	70		COFINS	01	0.00	556.26	42.28	0.00	0.00
1	8/1/2011	GRAOS	2011080101	90000032		ICMS	40	0.00	0.00	0.00	3391.67	0.00
1	8/1/2011	GRAOS	2011080101	90000032		IPI	02	0.00	0.00	0.00	3391.67	0.00
1	8/1/2011	GRAOS	2011080101	90000032		PIS	06	0.00	3391.67	0.00	0.00	0.00
1	8/1/2011	GRAOS	2011080101	90000032		COFINS	06	0.00	3391.67	0.00	0.00	0.00
1	8/1/2011	GRAOS	2907003	90000032	2202	ICMS	40	0.00	0.00	0.00	1.46	0.00
1	8/1/2011	GRAOS	2907003	90000032	2202	IPI	02	0.00	0.00	0.00	1.46	0.00
1	8/1/2011	GRAOS	2907003	90000032	2202	PIS	06	0.00	1.46	0.00	0.00	0.00
1	8/1/2011	GRAOS	2907003	90000032	2202	COFINS	06	0.00	1.46	0.00	0.00	0.00
1	8/5/2011	GRAOS	0508003	90000032	2202	ICMS	40	0.00	0.00	0.00	71.40	0.00
1	8/2/2011	UN	0000008	12704	5949	ICMS	90	0.00	0.00	0.00	0.00	125.00
1	8/2/2011	UN	0000008	12704	5949	IPI	53	5.00	0.00	0.00	0.00	125.00
1	8/2/2011	UN	0000008	12704	5949	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0000008	12704	5949	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0000010	12704	1949	ICMS	90	0.00	0.00	0.00	0.00	25.00
1	8/2/2011	UN	0000010	12704	1949	IPI	03	0.00	0.00	0.00	0.00	25.00
1	8/2/2011	UN	0000010	12704	1949	PIS	06	0.00	25.00	0.00	0.00	0.00
1	8/2/2011	UN	0000010	12704	1949	COFINS	06	0.00	25.00	0.00	0.00	0.00
1	8/2/2011	1	0001302	12704	1101	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	1	0001302	12704	1101	PIS	06	0.00	121.00	2.00	0.00	0.00
1	8/2/2011	1	0001302	12704	1101	COFINS	06	0.00	121.00	9.20	0.00	0.00
1	8/2/2011	UN	0010811	12704	1101	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0010811	12704	1101	PIS	06	0.00	15.00	0.25	0.00	0.00
1	8/2/2011	UN	0010811	12704	1101	COFINS	06	0.00	15.00	1.14	0.00	0.00
1	8/2/2011	5	0020800	81	2101	ICMS	90	0.00	0.00	0.00	0.00	22000.00
1	8/2/2011	5	0020800	81	2101	IPI	03	0.00	0.00	0.00	0.00	22000.00
1	8/2/2011	5	0020800	81	2101	PIS	06	0.00	22000.00	0.00	0.00	0.00
1	8/2/2011	5	0020800	81	2101	COFINS	06	0.00	22000.00	0.00	0.00	0.00
1	8/2/2011	1	0020801	90000033		ICMS	40	0.00	0.00	0.00	20000.00	0.00
1	8/2/2011	1	0020801	90000033		IPI	02	0.00	0.00	0.00	20000.00	0.00
1	8/2/2011	1	0020801	90000033		PIS	06	0.00	20000.00	0.00	0.00	0.00
1	8/2/2011	1	0020801	90000033		COFINS	06	0.00	20000.00	0.00	0.00	0.00
1	8/2/2011	1	0020803	90000033		ICMS	40	0.00	0.00	0.00	12000.00	0.00
1	8/2/2011	1	0020803	90000033		IPI	02	0.00	0.00	0.00	12000.00	0.00
1	8/2/2011	1	0020803	90000033		PIS	06	0.00	12000.00	0.00	0.00	0.00
1	8/2/2011	1	0020803	90000033		COFINS	06	0.00	12000.00	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208007	90000032	2202	ICMS	40	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	UN	0020811	12704	1101	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	UN	0020811	12704	1101	ICMS	00	17.00	100.00	17.00	0.00	0.00
1	8/2/2011	UN	0020811	12704	1949	ICMS	90	0.00	0.00	0.00	0.00	50.00
1	8/2/2011	UN	0020811	12704	1101	IPI	00	5.00	100.00	5.00	0.00	0.00
1	8/2/2011	UN	0020811	12704	1949	IPI	03	0.00	0.00	0.00	0.00	50.00
1	8/2/2011	UN	0020811	12704	1101	PIS	06	0.00	355.00	4.21	0.00	0.00
1	8/2/2011	UN	0020811	12704	1949	PIS	06	0.00	50.00	0.00	0.00	0.00
1	8/2/2011	UN	0020811	12704	1101	COFINS	06	0.00	355.00	19.38	0.00	0.00
1	8/2/2011	UN	0020811	12704	1949	COFINS	06	0.00	50.00	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208007	90000032	2202	IPI	02	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	5	0076180	70	6925	ICMS	00	25.00	12.16	3.04	0.00	0.00
1	8/2/2011	5	0076180	70	6925	IPI	51	0.00	0.00	0.00	0.00	10.00
1	8/2/2011	5	0076180	70	6925	IPI	50	8.00	2.00	0.16	0.00	0.00
1	8/2/2011	5	0076180	70	6925	PIS	06	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076180	70	6925	COFINS	06	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076181	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076181	70	6118	IPI	50	8.00	101.00	8.08	0.00	0.00
1	8/2/2011	5	0076181	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076181	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076182	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076182	70	6118	IPI	50	8.00	101.00	8.08	0.00	0.00
1	8/2/2011	5	0076182	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076182	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076183	81	6925	ICMS	00	25.00	11.40	2.85	0.00	0.00
1	8/2/2011	5	0076183	81	6925	IPI	51	0.00	0.00	0.00	0.00	6.00
1	8/2/2011	5	0076183	81	6925	IPI	50	8.00	5.00	0.40	0.00	0.00
1	8/2/2011	5	0076183	81	6925	PIS	06	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076183	81	6925	COFINS	06	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208007	90000032	2202	PIS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208007	90000032	2202	COFINS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	5	0076184	12704	5201	ICMS	00	17.00	5.00	0.85	0.00	0.00
1	8/2/2011	5	0076184	12704	5201	IPI	51	0.00	0.00	0.00	0.00	5.00
1	8/2/2011	5	0076184	12704	5201	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076184	12704	5201	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076185	12704	5201	ICMS	00	17.00	10.00	1.70	0.00	0.00
1	8/2/2011	5	0076185	12704	5201	IPI	51	0.00	0.00	0.00	0.00	10.00
1	8/2/2011	5	0076185	12704	5201	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076185	12704	5201	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076186	12704	5201	ICMS	00	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076186	12704	5201	IPI	51	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076186	12704	5201	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076186	12704	5201	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076187	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076187	70	6118	IPI	50	8.00	101.00	8.08	0.00	0.00
1	8/2/2011	5	0076187	70	6118	PIS	08	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076187	70	6118	COFINS	08	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076188	90000033	6109	ICMS	40	0.00	0.00	0.00	16500.00	0.00
1	8/2/2011	5	0076188	90000033	6109	IPI	52	0.00	0.00	0.00	16500.00	0.00
1	8/2/2011	5	0076188	90000033	6109	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076188	90000033	6109	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076189	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076189	70	6118	IPI	50	8.00	101.00	8.08	0.00	0.00
1	8/2/2011	5	0076189	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076189	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076191	12704	5201	ICMS	00	17.00	250.00	42.50	0.00	0.00
1	8/2/2011	5	0076191	12704	5201	IPI	51	0.00	0.00	0.00	0.00	250.00
1	8/2/2011	5	0076191	12704	5201	PIS	01	0.00	250.00	4.13	0.00	0.00
1	8/2/2011	5	0076191	12704	5201	COFINS	01	0.00	250.00	19.00	0.00	0.00
1	8/2/2011	5	0076192	12704	5201	ICMS	00	17.00	250.00	42.50	0.00	0.00
1	8/2/2011	5	0076192	12704	5201	IPI	51	0.00	0.00	0.00	0.00	250.00
1	8/2/2011	5	0076192	12704	5201	PIS	01	0.00	250.00	4.13	0.00	0.00
1	8/2/2011	5	0076192	12704	5201	COFINS	01	0.00	250.00	19.00	0.00	0.00
1	8/2/2011	5	0076193	70	6925	ICMS	00	25.00	11.08	2.77	0.00	0.00
1	8/2/2011	5	0076193	70	6925	IPI	51	0.00	0.00	0.00	0.00	10.00
1	8/2/2011	5	0076193	70	6925	IPI	50	8.00	1.00	0.08	0.00	0.00
1	8/2/2011	5	0076193	70	6925	PIS	06	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076193	70	6925	COFINS	06	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076193	70		ICMS	40	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076193	70		PIS	02	0.00	102.00	1.68	0.00	0.00
1	8/2/2011	5	0076193	70		COFINS	02	0.00	102.00	7.75	0.00	0.00
1	8/2/2011	5	0076194	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076194	70	6118	IPI	50	8.00	101.00	8.08	0.00	0.00
1	8/2/2011	5	0076194	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076194	70	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	5	0076195	70	6101	ICMS	00	25.00	101.00	25.25	0.00	0.00
1	8/2/2011	5	0076195	70	6101	PIS	01	0.00	101.00	1.67	0.00	0.00
1	8/2/2011	5	0076195	70	6101	COFINS	01	0.00	101.00	7.68	0.00	0.00
1	8/2/2011	GRAOS	0208001	90000032	2202	ICMS	40	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208001	90000032	2202	IPI	02	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208001	90000032	2202	PIS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208001	90000032	2202	COFINS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208002	90000032	2202	ICMS	40	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208002	90000032	2202	IPI	02	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208002	90000032	2202	PIS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208002	90000032	2202	COFINS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208003	90000032	2202	ICMS	40	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208003	90000032	2202	IPI	02	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208003	90000032	2202	PIS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208003	90000032	2202	COFINS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208004	90000032	2202	ICMS	40	0.00	0.00	0.00	0.67	0.00
1	8/2/2011	GRAOS	0208004	90000032	2202	IPI	02	0.00	0.00	0.00	0.67	0.00
1	8/2/2011	GRAOS	0208004	90000032	2202	PIS	06	0.00	0.67	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208004	90000032	2202	COFINS	06	0.00	0.67	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208006	90000032	2202	ICMS	40	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208006	90000032	2202	IPI	02	0.00	0.00	0.00	3.35	0.00
1	8/2/2011	GRAOS	0208006	90000032	2202	PIS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	GRAOS	0208006	90000032	2202	COFINS	06	0.00	3.35	0.00	0.00	0.00
1	8/2/2011	1	0208111	90000033		ICMS	40	0.00	0.00	0.00	467660.01	0.00
1	8/2/2011	1	0208111	90000033		IPI	02	0.00	0.00	0.00	467660.01	0.00
1	8/2/2011	1	0208111	90000033		PIS	06	0.00	467660.01	0.00	0.00	0.00
1	8/2/2011	1	0208111	90000033		COFINS	06	0.00	467660.01	0.00	0.00	0.00
1	8/2/2011	5	0208112	90000033		ICMS	40	0.00	0.00	0.00	1340.00	0.00
1	8/2/2011	5	0208112	90000033		IPI	02	0.00	0.00	0.00	1340.00	0.00
1	8/2/2011	5	0208112	90000033		PIS	06	0.00	1340.00	0.00	0.00	0.00
1	8/2/2011	5	0208112	90000033		COFINS	06	0.00	1340.00	0.00	0.00	0.00
1	8/2/2011	11	0290836	70	6101	ICMS	00	25.00	100.00	25.00	0.00	0.00
1	8/2/2011	11	0290836	70	6101	IPI	50	10.00	100.00	10.00	0.00	0.00
1	8/2/2011	11	0290836	70	6101	PIS	01	0.00	100.00	1.65	0.00	0.00
1	8/2/2011	11	0290836	70	6101	COFINS	01	0.00	100.00	7.60	0.00	0.00
1	8/2/2011	11	0290837	70	6101	ICMS	00	25.00	120.00	30.00	0.00	0.00
1	8/2/2011	11	0290837	70	6101	IPI	50	10.00	120.00	12.00	0.00	0.00
1	8/2/2011	11	0290837	70	6101	PIS	01	0.00	120.00	1.98	0.00	0.00
1	8/2/2011	11	0290837	70	6101	COFINS	01	0.00	120.00	9.12	0.00	0.00
1	8/2/2011	11	0290838	70		ICMS	00	25.00	210.00	52.50	0.00	0.00
1	8/2/2011	11	0290838	70		IPI	51	0.00	0.00	0.00	0.00	210.00
1	8/2/2011	11	0290838	70		PIS	01	0.00	210.00	3.47	0.00	0.00
1	8/2/2011	11	0290838	70		COFINS	01	0.00	210.00	15.96	0.00	0.00
1	8/2/2011	11	0290839	13	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	11	0290839	13	6118	IPI	51	0.00	0.00	0.00	0.00	210.00
1	8/2/2011	11	0290839	13	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
1	8/2/2011	11	0290839	13	6118	COFINS	07	0.00	0.00	0.00	0.00	0.00
1	8/3/2011	1	0001500	12704	1101	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/3/2011	1	0001500	12704	1101	PIS	06	0.00	400.00	6.60	0.00	0.00
1	8/3/2011	1	0001500	12704	1101	COFINS	06	0.00	400.00	30.40	0.00	0.00
1	8/3/2011	GRAOS	0014141	90000033		ICMS	40	0.00	0.00	0.00	6700.00	0.00
1	8/3/2011	GRAOS	0014141	90000033		IPI	02	0.00	0.00	0.00	6700.00	0.00
1	8/3/2011	GRAOS	0014141	90000033		PIS	06	0.00	6700.00	0.00	0.00	0.00
1	8/3/2011	GRAOS	0014141	90000033		COFINS	06	0.00	6700.00	0.00	0.00	0.00
1	8/5/2011	GRAOS	0012345	90000033		PIS	06	0.00	186.54	0.00	0.00	0.00
1	8/3/2011	5	0076196	70		ICMS	00	25.00	874.58	218.65	0.00	0.00
1	8/3/2011	5	0076196	70		IPI	51	0.00	0.00	0.00	0.00	760.45
1	8/3/2011	5	0076196	70		IPI	50	8.00	114.13	9.13	0.00	0.00
1	8/3/2011	5	0076196	70		PIS	01	0.00	772.58	12.76	0.00	0.00
1	8/3/2011	5	0076196	70		PIS	02	0.00	102.00	1.68	0.00	0.00
1	8/3/2011	5	0076196	70		COFINS	01	0.00	772.58	58.71	0.00	0.00
1	8/3/2011	5	0076196	70		COFINS	02	0.00	102.00	7.75	0.00	0.00
1	8/5/2011	GRAOS	0012345	90000033		COFINS	06	0.00	186.54	0.00	0.00	0.00
1	8/3/2011	5	0076197	70	6118	ICMS	90	0.00	0.00	0.00	0.00	0.00
1	8/3/2011	5	0076197	70	6118	IPI	50	8.00	101.00	8.08	0.00	0.00
1	8/3/2011	5	0076197	70	6118	PIS	07	0.00	0.00	0.00	0.00	0.00
