Estabelecimento	Série	Número do Documento	Participante	Tipo de Operação	Participante Referenciado	Indicador Emitente Refer.	Modelo Doc. Referenciado	Série Doc. Referenciado	Número Doc. Referenciado	Data Emissão Doc. Referenciado
1	GRAOS	0208004	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0208006	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0208007	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	5	0308111	90000033	1	90000033	0		5	0076190	8/2/2011
1	UN	0040811	12704	1	12704	0		UN	0040811	8/4/2011
1	11	0290842	70	1	70	0		11	0290841	8/4/2011
1	UN	0050811	12704	1	12704	0		UN	0050811	8/5/2011
1	GRAOS	0108002	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	GRAOS	0108003	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	GRAOS	0108005	90000032	1	90000032	0		5	0076216	8/5/2011
1	GRAOS	0508001	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	GRAOS	0508002	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	GRAOS	0508003	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0508003	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	GRAOS	0508004	90000032	1	90000032	0	55	5	0075998	7/11/2011
1	GRAOS	0508004	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	GRAOS	0508005	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	GRAOS	0508005	90000032	1	90000032	0	55	5	0076232	8/5/2011
1	GRAOS	0808001	90000032	1	90000032	0	55	5	0076216	8/5/2011
1	1	0007177	90000033	1	90000033	0	55	5	0076245	8/8/2011
1	1	0007177	90000033	1	90000033	0	55	5	0076247	8/8/2011
1	1	0007177	90000033	1	90000033	0	55	5	0076248	8/8/2011
1	1	0008188	90000033	1	90000033	0	55	5	0076245	8/8/2011
1	1	0008188	90000033	1	90000033	0	55	5	0076246	8/8/2011
1	1	0009199	90000033	1	90000033	0	55	5	0076245	8/8/2011
1	1	0009199	90000033	1	90000033	0	55	5	0076248	8/8/2011
1	UN	0070811	12704	1	12704	0		UN	0070811	8/9/2011
1	UN	0090811	12704	1	12704	0		UN	0090811	8/9/2011
1	11	0290849	13	0	13	1	01	1	0001002	8/1/2011
1	1	0000500	13	1	13	0	01	11	0290850	8/9/2011
1	1	0001335	12704	1	12704	0		1	0001334	8/10/2011
1	1	0001337	12704	1	12704	0		1	0001336	8/10/2011
1	5	0076271	70	1	70	0		5	0076270	8/10/2011
1	5	0076272	70	1	81	0		5	0076273	8/10/2011
1	5	0076273	81	1	70	0		5	0076272	8/10/2011
1	5	0076274	81	1	70	0		5	0076275	8/10/2011
1	5	0076275	70	1	81	0		5	0076274	8/10/2011
1	5	0076277	81	1	70	0		5	0076278	8/10/2011
1	5	0076278	70	1	81	0		5	0076277	8/10/2011
1	5	0076279	70	1	81	0		5	0076280	8/10/2011
1	5	0076280	81	1	70	0		5	0076279	8/10/2011
1	UN	0090811	12704	1	12704	0		UN	0090811	8/9/2011
1	UN	0100811	12704	1	12704	0	55	UN	0100811	8/10/2011
1	UN	9990811	12704	1	12704	0		UN	9990811	8/10/2011
1	1	0001347	12704	1	12704	0		1	0001345	8/11/2011
1	UN	0110811	12704	1	12704	0	55	UN	0110811	8/11/2011
1	UN	0110811	12704	1	12704	0	1	UN	0000002	7/12/2011
1	5	0076337	13	1	13	0		5	0076335	8/12/2011
1	5	0076339	13	1	13	0		5	0076335	8/12/2011
1	UN	0120811	12704	1	12704	0		UN	0120811	8/12/2011
1	UN	0120812	12704	1	12704	0		UN	0120811	8/12/2011
1	1	12345678	12704	1	12704	0		1	0001108	8/11/2011
1	1	12345678	12704	1	12704	0		1	1234567	8/11/2011
1	UN	9120812	12704	1	12704	0		UN	0120812	8/12/2011
1	11	0290852	13	0	13	1	01	1	0004589	8/12/2011
1	11	0290853	1	0	1	1	01	1	0004590	8/12/2011
1	11	0290854	1	0	1	1	01	1	0004590	8/12/2011
1	UN	0160811	12704	1	12704	0		UN	0160811	8/16/2011
1	1	0001375	12704	1	12704	0		1	0001374	8/17/2011
1	UN	0180811	12704	1	12704	0	1	UN	0000002	7/12/2011
1	5	0076502	70	1	70	0		5	0076501	8/19/2011
1	5	0076503	70	1	70	0		5	0076501	8/19/2011
1	5	0076504	70	1	70	0		5	0076501	8/19/2011
1	5	0076509	70	1	70	0		5	0076508	8/19/2011
1	5	0076510	70	1	70	0		5	0076508	8/19/2011
1	5	0076511	70	1	70	0		5	0076508	8/19/2011
1	5	0076516	70	1	70	0		5	0076514	8/19/2011
1	5	0076517	70	1	70	0		5	0076514	8/19/2011
1	5	0076518	70	1	70	0		5	0076514	8/19/2011
1	5	0076520	70	1	70	0		5	0076519	8/19/2011
1	5	0076521	70	1	70	0		5	0076519	8/19/2011
1	5	0076522	70	1	70	0		5	0076519	8/19/2011
1	1	0001389	12704	1	12704	0		1	0001388	8/22/2011
1	UN	2208151	12704	1	12704	0		UN	2208150	8/22/2011
1	UN	2208200	12704	1	12704	0		UN	2208100	8/22/2011
1	1	0000600	4	1	4	0	01	11	0290847	8/9/2011
1	1	0001406	12704	1	12704	0		1	0001405	8/24/2011
1	1	0001407	12704	1	12704	0		1	0001270	7/26/2011
1	UN	0240811	12704	1	12704	0	1	UN	0000013	8/24/2011
1	1	0000601	1	1	1	0	01	11	0290848	8/9/2011
1	1	0001421	12704	1	12704	0		1	0001420	8/26/2011
1	UN	0000547	1	1	1	0		UN	547	8/30/2011
