Estabelecimento	Data Inventário	Motivo Inventário	Item	Participante	Indicador de propriedade/posse	Unidade de medida	Quantidade Item	Valor Unitário Item	Valor Item	Conta Contábil	Valor do item IR
1	5/31/2011	05	21.32.103-6		0	PC	17.00	148.07	2517.13	112510100000101	2517.13
1	5/31/2011	05	21.32.104-4		0	PC	47.00	146.79	6899.03	112510100000101	6899.03
1	5/31/2011	05	21.32.105-2		0	PC	25.00	165.17	4129.21	112510100000101	4129.21
1	5/31/2011	05	21.32.106-0		0	PC	38.00	164.20	6239.65	112510100000101	6239.65
1	5/31/2011	05	21.32.201-6		0	PC	57.00	148.37	8457.28	112510100000101	8457.28
1	5/31/2011	05	21.32.202-4		0	PC	90.00	148.01	13320.90	112510100000101	13320.90
1	5/31/2011	05	21.32.203-2		0	PC	33.00	156.87	5176.76	112510100000101	5176.76
1	5/31/2011	05	21.32.204-0		0	PC	134.00	157.14	21057.20	112510100000101	21057.20
1	5/31/2011	05	21.32.205-9		0	PC	44.00	189.99	8359.36	112510100000101	8359.36
1	5/31/2011	05	21.32.206-7		0	PC	59.00	176.52	10414.64	112510100000101	10414.64
1	5/31/2011	05	21.32.401-9		0	PC	66.00	149.55	9870.10	112510100000101	9870.10
1	5/31/2011	05	21.32.401-9	19109	1	PC	164684.65	16.26	2677646.09	112510100000101	2677646.09
1	5/31/2011	05	21.32.402-7		0	PC	65.00	150.63	9790.80	112510100000101	9790.80
1	5/31/2011	05	21.32.403-5		0	PC	34.00	165.24	5618.26	112510100000101	5618.26
