Data	Natureza	Tipo	NÌvel	CÛdigo Conta	DescriÁ„o	Natureza
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540010200000102	PARTICIPACOES INCENTIVADAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540010700000107	BAIXA DE INVEST P/INUTILIZACAO	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540010600000106	BAIXA DE INVESTIMENTOS P/VENDAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540020200000202	BAIXA DE IMOBILIZADOS P/VENDAS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540020300000203	BAIXA DE IMOBILIZADOS P/DOACOES	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540020100000201	VENDAS DE IMOBILIZADOS DIVERSOS	
5/31/2011	RESULTADO	ANALITICA	CAIXA GERAL	540020400000204	BAIXA DE IMOB P/INUTILIZACAO	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020400000204	CAIXA - DISTRITO INDUSTRIAL	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020100000201	CAIXA	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020200000202	CAIXA DE SOO PAULO	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020300000203	MOEDA ESTRANGEIRA	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020600000206	FUNDO FIXO DE CAIXA - CURITIBA	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020700000207	FUNDO FIXO DE CAIXA - BH	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020800000208	FUNDO FIXO DE CAIXA - GO	
5/31/2011	ATIVO	ANALITICA	CAIXA	111020900000209	FUNDO FIXO DE CAIXA - SP	
5/31/2011	ATIVO	ANALITICA	CAIXA	111031900000319	UNIOO DE BCOS BRASILEIROS S.A.	
5/31/2011	ATIVO	ANALITICA	CAIXA	111030200000302	HSBC BANK BRASIL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111030500000305	BANCO BRADESCO S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111030700000307	BANCO DO BRASIL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111030800000308	BCO DO ESTADO DE SOO PAULO S.A.	
5/31/2011	ATIVO	ANALITICA	CAIXA	111031100000311	BANCO ITA∑ S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111031400000314	BANCO BRADESCO - VISA VALE	
5/31/2011	ATIVO	ANALITICA	CAIXA	111031500000315	BANCO BRADESCO - VALE PEDﬂGIO	
5/31/2011	ATIVO	ANALITICA	CAIXA	111031700000317	BANCO SANTANDER S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111031800000318	BCO REAL S.A.	
5/31/2011	ATIVO	ANALITICA	CAIXA	111032000000320	CAIXA ECON∂MICA FEDERAL	
5/31/2011	ATIVO	ANALITICA	CAIXA	111032100000321	CAIXA ECON∂MICA FEDERAL - C. ALVES	
5/31/2011	ATIVO	ANALITICA	CAIXA	111032200000322	BANCO ABN AMRO REAL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111032300000323	BANCO ITAU S/A - SOO PAULO	
5/31/2011	ATIVO	ANALITICA	CAIXA	111043500000435	ITA∑ - DEBUNTURES	
5/31/2011	ATIVO	ANALITICA	CAIXA	111040400000404	CAIXA ECON∂MICA FEDERAL	
5/31/2011	ATIVO	ANALITICA	CAIXA	111040500000405	HSBC BANK BRASIL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111040700000407	BANCO DO BRASIL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111041100000411	BANCO ITA∑ S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111041800000418	BANCO ABN AMRO REAL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	111042100000421	CAIXA ECON. FEDERAL - C. ALVES	
5/31/2011	ATIVO	ANALITICA	CAIXA	111043000000430	BANCO BRADESCO	
5/31/2011	ATIVO	ANALITICA	CAIXA	111043300000433	ABN AMRO REAL S.A.	
5/31/2011	ATIVO	ANALITICA	CAIXA	111043400000434	BRADESCO EMPRESA FIC	
5/31/2011	ATIVO	ANALITICA	CAIXA	111043600000436	BRADESCO CAPITALIZAﬁOO  019444-1	
5/31/2011	ATIVO	ANALITICA	CAIXA	111043700000437	BRADESCO CAPITALIZAﬁOO 0194446-8	
5/31/2011	ATIVO	ANALITICA	CAIXA	112020100000201	DUPLICATAS MERCANTIS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112030100000301	BCO BRADESCO S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	112030200000302	BCO ITA∑ S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	112059900000599	NOTA PROMISSæRIA A RECEBER	
5/31/2011	ATIVO	ANALITICA	CAIXA	112069900000699	CHEQUES A RECEBER	
5/31/2011	ATIVO	ANALITICA	CAIXA	112080500000805	(-) PROVISOO DE APLICAﬁOO FINANCEIRA	
5/31/2011	ATIVO	ANALITICA	CAIXA	112080100000801	(-) PROVISOO PARA DEVED DUVIDOSOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112111800000118	COFINS DE ATIVO IMOBILIZADO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112110100000101	IRRF S/ DIVIDENDOS RECEBIDOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112110600000106	ANTECIPAﬁOO DO IRPJ	
5/31/2011	ATIVO	ANALITICA	CAIXA	112110700000107	IPI SOBRE REMESSA	
5/31/2011	ATIVO	ANALITICA	CAIXA	112110900000109	ANTECIPAﬁOO CONTRIBUIﬁOO SOCIAL	
5/31/2011	ATIVO	ANALITICA	CAIXA	112111000000110	SALDO NEGATIVO DE IRPJ	
5/31/2011	ATIVO	ANALITICA	CAIXA	112111100000111	SALDO NEGATIVO DE CSLL	
5/31/2011	ATIVO	ANALITICA	CAIXA	112111600000116	PIS DE ATIVO IMOBILIZADO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112111700000117	IRRF A RECUPERAR	
5/31/2011	ATIVO	ANALITICA	CAIXA	112110500000105	ICMS SOBRE REMESSA	
5/31/2011	ATIVO	ANALITICA	CAIXA	112111900000119	IPI A RESTITUIR	
5/31/2011	ATIVO	ANALITICA	CAIXA	112112000000120	ICMS DE ATIVO IMOBILIZADO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112112100000121	IRPJ DIFERIDO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112112200000122	CONTRIBUIﬁOO SOCIAL DIFERIDO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112110400000104	IPI A RECUPERAR	
5/31/2011	ATIVO	ANALITICA	CAIXA	112110200000102	IRRF S/ APLICAﬁßES FINANCEIRAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112120100000201	ADIANTAMENTOS A FORNECEDORES	
5/31/2011	ATIVO	ANALITICA	CAIXA	112120200000202	ADIANTAMENTOS POR DEVOLUﬁßES	
5/31/2011	ATIVO	ANALITICA	CAIXA	112100200000002	ADIANTAMENTO POR DEVOLUﬁßES	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210200000102	FARMﬂCIA A EMPREGADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210300000103	ADIANTAMENTO NORMAL AUTOMﬂTICO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210400000104	ANTECIPAﬁOO PAGTO PIS / EMPREGADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210500000105	ANTECIPAﬁOO 13ø SALﬂRIO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210600000106	CONVUNIO MUDICO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210700000107	VIAGEM PARA EXTERIOR	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210900000109	ADIANT PARTICIPAﬁOO DE LUCROS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112211100000111	ADIANTAMENTO AJUSTE LIQUIDO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112211200000112	ADIANTAMENTO ESTOURO LIQUIDO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112211300000113	ADIANTAMENTO DE FURIAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112211400000114	VALE TRANSPORTE	
5/31/2011	ATIVO	ANALITICA	CAIXA	112211600000116	CESTA BﬂSICA	
5/31/2011	ATIVO	ANALITICA	CAIXA	112211700000117	REFEIﬁßES E LANCHES	
5/31/2011	ATIVO	ANALITICA	CAIXA	112217500000175	BOLSA DE ESTUDOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112218000000180	GOOD CARD-CARTßES DE CRUDITO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112218100000181	SEGURO DOS EMPREGADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112218200000182	MULTA DE TRONSITO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112210100000101	EMPRUSTIMOS A EMPREGADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112220200000202	ADIANTAMENTO PARA VIAGENS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112220300000203	ADIANTAMENTO VALE PEDﬂGIO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112220400000204	ADIANTAMENTO ICMS-SUBST-MG	
5/31/2011	ATIVO	ANALITICA	CAIXA	112230100000301	JUROS A ELETROBRﬂS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112230200000302	SEGUROS A RECEBER	
5/31/2011	ATIVO	ANALITICA	CAIXA	112231500000315	ALUGUUIS A RECEBER	
5/31/2011	ATIVO	ANALITICA	CAIXA	112230900000309	JUROS A RECEBER	
5/31/2011	ATIVO	ANALITICA	CAIXA	112230600000306	EMPRUSTIMOS PARA COOPUS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112230300000303	INDENIZAﬁßES A RECEBER	
5/31/2011	ATIVO	ANALITICA	CAIXA	112246100000461	SEGUROS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112284600000846	JABOTICABAL-LOTE 11-Q.A-PQ TREVO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112503000000030	TRANSFERENCIA DE ESTOQUE	
5/31/2011	ATIVO	ANALITICA	CAIXA	112503100000000	ORDENS DE PRODUﬁOO EM ANDAMENTO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112503100000031	ORDENS DE PRODUﬁOO EM ANDAMENTO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112505000000050	MERCADORIAS DE REVENDA	
5/31/2011	ATIVO	ANALITICA	CAIXA	112502000000020	PRODUTOS SEMI-ACABADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112501000000010	PRODUTOS ACABADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112500400000004	MATERIAIS DE USO E CONSUMO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112500300000003	MATERIAIS DE MANUTENﬁOO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112500200000002	MATERIAIS DE FERRAMENTARIA	
5/31/2011	ATIVO	ANALITICA	CAIXA	112500100000001	MATURIAS PRIMAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112550000000500	ESTOQUES A INDUSTRIALIZAR	
5/31/2011	ATIVO	ANALITICA	CAIXA	112550100000501	ESTOQUES A INDUSTRIALIZAR	
5/31/2011	ATIVO	ANALITICA	CAIXA	112540100000401	MATERIAIS COM TERCEIROS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112540000000400	MATERIAIS EM PODER DE TERCEIROS	
5/31/2011	ATIVO	ANALITICA	CAIXA	112510100000101	ESTOQUES PARA INDUSTRIALIZAﬁOO	
5/31/2011	ATIVO	ANALITICA	CAIXA	112510000000100	ESTOQUES DE TERCEIROS EM NOSSO PODER	
5/31/2011	ATIVO	ANALITICA	CAIXA	112509900000099	DUBITO DIRETO - TRANSITæRIA	
5/31/2011	ATIVO	ANALITICA	CAIXA	112508800000088	O.S. MANUTENﬁOO EM ANDAMENTO	
5/31/2011	ATIVO	ANALITICA	CAIXA	113010300000103	JUROS A VENCER	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011100000111	PERDAS A APROPRIAR DO CORTE	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011200000112	PERDAS A APROPRIAR DA ESTAMPARIA	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011300000113	PERDAS A APROPRIAR DA DOBRADEIRA	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011400000114	PERDAS A APROPRIAR DA PERFILADEIRA	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011500000115	PERDAS A APROPRIAR DA INJETORA	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011600000116	PERDAS A APROPRIAR DA MONTAGEM	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011700000117	PERDAS A APROPRIAR DO TRATAMENTO	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011800000118	PERDAS A APROPRIAR DA PINT/ACAB	
5/31/2011	ATIVO	ANALITICA	CAIXA	113011900000119	PERDAS A APROPRIAR DO ACABAMENTO	
5/31/2011	ATIVO	ANALITICA	CAIXA	113013300000133	PERDAS A APROPRIAR ESQ ESPECIAIS	
5/31/2011	ATIVO	ANALITICA	CAIXA	113013100000131	PERDAS A APROPRIAR DO ALUMYNIO	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015400000154	ENERGIA ELUTRICA DO AﬁO	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015500000155	CONTA DE øGUA	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015600000156	FEIRAS E EXPOSIﬁßES	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015700000157	DESPESAS POR CC A CLASSIFICAR	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015800000158	REVERSOO DE MATURIA-PRIMA	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015900000159	MOO-DE-OBRA MATERIAL DA ALCOA	
5/31/2011	ATIVO	ANALITICA	CAIXA	113016000000160	SEGURO PREDIAL	
5/31/2011	ATIVO	ANALITICA	CAIXA	113016200000162	ENERGIA ELUTRICA DO ALUMYNIO	
5/31/2011	ATIVO	ANALITICA	CAIXA	113016300000163	MOO-DE-OBRA MATERIAL DE AﬁO	
5/31/2011	ATIVO	ANALITICA	CAIXA	113016400000164	DESPESAS ESQUADRIAS ESPECIAIS	
5/31/2011	ATIVO	ANALITICA	CAIXA	113016500000165	INSS - UNIMED	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015200000152	PRUMIOS DE SEGURO A VENCER	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015100000151	ASSINATURA DE JORNAIS E REVISTAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015000000150	ALUGUEL	
5/31/2011	ATIVO	ANALITICA	CAIXA	113015300000153	CONTRATO DE MANUTENﬁOO	
5/31/2011	ATIVO	ANALITICA	CAIXA	121010100000101	COMPULSæRIO A ELETROBRﬂS	
5/31/2011	ATIVO	ANALITICA	CAIXA	121020100000201	ICMS DE ATIVO IMOBILIZADO	
5/31/2011	ATIVO	ANALITICA	CAIXA	121020200000202	COFINS DE ATIVO IMOBILIZADO	
5/31/2011	ATIVO	ANALITICA	CAIXA	121020300000203	PIS DE ATIVO IMOBILIZADO	
5/31/2011	ATIVO	ANALITICA	CAIXA	121020400000204	ICMS PENDENTE DE ATIVO IMOBILIZADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	121020500000205	COFINS PENDENTE DE ATIVO IMOBILIZADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	121020600000206	PIS PENDENTE DE ATIVO IMOBILIZADOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	122010200000102	PROC. 01623-12.2010 J DO TRABALHO	
5/31/2011	ATIVO	ANALITICA	CAIXA	122010800000108	PROC 920051843-5 PIS	
5/31/2011	ATIVO	ANALITICA	CAIXA	122011200000112	PROC 961002828-4 FGTS S/CHAPAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	122019700000197	PROC. 0162500.67	
5/31/2011	ATIVO	ANALITICA	CAIXA	122011800000118	PROC 19996111007669-0 - IRPJ	
5/31/2011	ATIVO	ANALITICA	CAIXA	122019600000196	PROC 1660/2008 JOSE R DA SILVA	
5/31/2011	ATIVO	ANALITICA	CAIXA	122011400000114	PROC 981002056-2 FGTS S/CHAPAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	122019500000195	PROC 1385/2005 CLAUDEMIR M ANJOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	122011700000117	PROC 19996111007669-0 - CSLL	
5/31/2011	ATIVO	ANALITICA	CAIXA	122012100000121	PROC 16111001194-0 - INSS	
5/31/2011	ATIVO	ANALITICA	CAIXA	131011000000110	BANCO MERIDIONAL DO BRASIL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	131011100000111	BANCO NACIONAL S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	131011800000118	UNIBANCO-UNIOO BANCO BRASILEIRO S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	131011900000119	CENTRAIS ELUTRICAS BRASILEIRAS- ELETROBR	
5/31/2011	ATIVO	ANALITICA	CAIXA	131020100000201	COPENE-PETROQUIMICA NORDESTE S/A	
5/31/2011	ATIVO	ANALITICA	CAIXA	131040100000401	SSZK EMPREEND. E PARTICIPAﬁßES LTDA	
5/31/2011	ATIVO	ANALITICA	CAIXA	131500100000001	AﬁßES DA ELETROBRﬂS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132010100000101	CONSTRUﬁßES ANDAMENTOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132020100000201	EQUIPTOS EM FABRICAﬁOO	
5/31/2011	ATIVO	ANALITICA	CAIXA	152220100000201	POﬁO ARTESIANO	
5/31/2011	ATIVO	ANALITICA	CAIXA	142220100000201	POﬁO ARTESIANO	
5/31/2011	ATIVO	ANALITICA	CAIXA	132170100000701	INSTALAﬁßES	
5/31/2011	ATIVO	ANALITICA	CAIXA	132100100000001	TERRENOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132110100000101	CONSTRUﬁßES E BENFEITORIAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132120100000201	MæVEIS E UTENSILIOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132180100000801	VEYCULOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132180200000802	VEYCULOS-ARREND MERCANTIL	
5/31/2011	ATIVO	ANALITICA	CAIXA	132190100000901	EQUIPAMENTOS COMPUTAﬁOO-HARDWARE	
5/31/2011	ATIVO	ANALITICA	CAIXA	132160100000601	INSTALAﬁßES ELUTRICAS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132150100000501	FERRAMENTAS DE PRODUﬁOO	
5/31/2011	ATIVO	ANALITICA	CAIXA	132220100000201	POﬁO ARTESIANO	
5/31/2011	ATIVO	ANALITICA	CAIXA	132140100000401	EQUIPAMENTOS DE PRODUﬁOO	
5/31/2011	ATIVO	ANALITICA	CAIXA	132130100000301	EQUIPAMENTOS MUDICOS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132230100000301	REFL AMURICA DO SUL I	
5/31/2011	ATIVO	ANALITICA	CAIXA	132239900000399	REFLORESTAMENTO	
5/31/2011	ATIVO	ANALITICA	CAIXA	132890500000905	EQUIPAMENTOS PRODUﬁOO	
5/31/2011	ATIVO	ANALITICA	CAIXA	132890100000901	CONSTR PROPRIEDADE TERCEIROS	
5/31/2011	ATIVO	ANALITICA	CAIXA	132890200000902	CONSTRUﬁßES / BENFEITORIAS	
