Estabelecimento	Código Item	Descrição	Código Barra	Unidade Medida	Tipo Item	NCM	Código EX	Código Gênero	Código LST	Código Comb	Origem	Data Inclusão	Alíquota ICMS	Código Serv. Municipal	Tipo de Serviço
1	40C	ITEM CONTROLE CONSIGNADO		KG	90	73083000		73			0	6/24/2011	17.00		
1	40F	ITEM CONTROLE F?SICO		KG	90	73083000		73			0	6/24/2011	14.00		
1	ABJC-100	ALAVANCA COM BOTAO MONTADO		PC	03	73089090		73			0	3/23/1998	17.00		
1	LOD01	ITEM CONTROLE TOTAL		PC	90	73089090		73			0	6/1/2011	17.00		
1	P2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM		KG	90	73083000		73			0	6/22/2011	17.00		
1	21.22.101-5	JVCSG-100X120X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.102-3	JVCSG-100X150X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.103-1	JVCSG-100X200X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.31.101-4	JVSG-100X120X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.102-2	JVSG-100X120X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.203-7	JVGE-100X150X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.204-5	JVGE-100X150X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.404-8	JVGQ-100X150X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.405-6	JVGQ-120X150X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.406-4	JVGQ-120X150X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.101-0	JVSG-100X120X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.102-8	JVSG-100X120X12-3 PTKA ESQ BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.205-9	JVGE-120X150X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.206-7	JVGE-120X150X12-3 PTKA ESQ BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.403-5	JVGQ-100X150X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	7700	7700		PC	90	00000000		00			0	1/1/2011	0.00		
1	83.01.014-2	ETIQ APD ATENCAO		PC	01	00000000		00			0	3/7/2001	0.00		
1	AAA	TESTE		PC	03	73089090		73			0	2/4/2011	17.00		
1	AC-007	DESLIZANTE SUP ROD POLIETILENO AD		PC	03	73089090		73			0	2/15/1991	17.00		
1	CONF	ITEM CONTROLE CONFIGURADO		KG	90	73083000		73			0	6/22/2011	17.00		
1	DD	MATERIAL D.DIRETO - TRIBUTADO		PC	07						0	9/18/1990	17.00		
1	FB2	ITEM COMPONENTE 2 - BAIXA ESTOQUE		M	90	73083000		73			0	6/22/2011	17.00		
1	MILHO	MILHO EM GRAOS A GRANEL - ORIGINACAO DE GRAOS		KG	90	34031900		34			0	6/24/2011	0.00		
1	P1	ITEM COMPOSTO - PAI BAIXA ESTOQUE - FILHOS N?O		KG	90	73083000		73			0	6/22/2011	17.00		
1	P3	ITEM COMPOSTO - PAI E FILHOS BAIXAM ESTOQUE		KG	90	73083000		73			0	6/22/2011	17.00		
1	REF	ITEM CONTROLE POR REFERENCIA		KG	01	73083000		73			0	6/22/2011	17.00		
1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS		KG	90	34031900		34			0	6/24/2011	0.00		
1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS		KG	90	34031900		34			0	6/24/2011	0.00		
1	21.21.401-9	JVBGQ-100X120X12-6 APDPRA/VLS		PC	04	73083000		73			0	7/27/2000	17.00		
1	21.21.402-7	JVBGQ-100X150X12-6 APDPRA/VLS		PC	04	73083000		73			0	7/27/2000	17.00		
1	21.21.403-5	JVBGQ-100X200X12-6 APDPRA/VLS		PC	04	73083000		73			0	8/30/2004	17.00		
1	21.21.412-4	JVBGQ-120X150X12-6 APDPRA/VLS		PC	04	73083000		73			0	11/7/2000	17.00		
1	21.21.413-2	JVBGQ-120X200X12-6 APDPRA VLS		PC	04	73083000		73			0	2/22/2005	17.00		
1	21.22.113-9	JVCSG-120X200X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.201-1	JVCGE-100X120X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.202-0	JVCGE-100X150X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.203-8	JVCGE-100X200X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.212-7	JVCGE-120X150X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.213-5	JVCGE-120X200X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.22.401-4	JVCGQ-100X120X12-6 APDBRA VLS		PC	04	73083000		73			0	2/21/2008	17.00		
1	21.31.103-0	JVSG-100X150X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.104-9	JVSG-100X150X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.105-7	JVSG-120X150X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.106-5	JVSG-120X150X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.201-0	JVGE-100X120X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.202-9	JVGE-100X120X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.205-3	JVGE-120X150X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.206-1	JVGE-120X150X12-3 PTKA ESQ PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.31.401-3	JVGQ-100X120X12-3 PTKA DIR PRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.103-6	JVSG-100X150X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.104-4	JVSG-100X150X12-3 PTKA ESQ BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.105-2	JVSG-120X150X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.202-4	JVGE-100X120X12-3 PTKA ESQ BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	21.32.203-2	JVGE-100X150X12-3 PTKA DIR BRA VLS		PC	04	73083000		73			0	6/24/2009	17.00		
1	.COMPRAS	.COMPRAS - PROJETO 87		PC	00	73089090		73			0	7/6/2011	17.00		
1	.COMPRAS.FISICO	.COMPRAS CONTROLE FISICO - PROJETO 87		PC	01	73089090		73			0	7/6/2011	17.00		
1	.COMPRAS.LOTE	.COMPRAS CONTROLE LOTE - PROJETO 87		PC	01	73089090		73			0	7/6/2011	17.00		
1	.COMPRASCN	.COMPRAS - ITEM PARA CONTRATO PROJETO 87		PC	01	73089090		73			0	8/12/2011	17.00		
1	.COMPRASCONSIGNA	.COMPRAS CONSIGANACAO - PROJETO 87		PC	01	73089090		73			0	7/6/2011	17.00		
1	.COMPRASDD	.COMPRAS DEBITO DIRETO - PROJETO 87		PC	01	73089090		73			0	7/6/2011	17.00		
1	.COMPRASNO.SERIE	.COMPRAS CONTROLE NO SERIE - PROJETO 87		PC	01	73089090		73			0	7/6/2011	17.00		
1	.COMPRASREFERENC	.COMPRAS CONTOLE POR REFERENCIA - PROJETO 87		PC	01	73089090		73			0	7/6/2011	17.00		
1	.DANF-E	.DANF-E		KG	01	73083000		73			0	7/5/2011	13.00		
1	.DANFE	.DANF-E-.DANF-E-.DANF-E-.DANF-E.DANF-E-.DANF-E-.DANF-E-.DAN.		KG	90	73083000		73			0	7/7/2011	17.00		
1	.DANFE-TAMANHOCP	.DANFE-OUTROS/.DANFE-OUTROS/.DANFE-OUTROS/.DANFE-OUTROS/.DAN		PC	90	34031900		34			0	7/8/2011	0.00		
1	.DANFE-TRIBUTADO	.DANFE-TRIBUTADO.DANFE-TRIBUTADO.DANFE-TRIBUTADO.DANFE-TRIB		UN	90	34031900		34			0	7/15/2011	17.00		
1	02.01.002-0	QFXLV-060X100X08-1 APACZA		PC	04	73083000		73			0	6/18/1996	17.00		
1	02.11.009-1	QFXLV-060X060X08-1 APACZA		PC	04	73083000		73			0	10/5/1994	17.00		
1	02.11.010-5	QFXLV-060X100X08-1 APACZA		PC	04	73083000		73			0	10/5/1994	17.00		
1	06.01.038-5	BPAE       -280X05 APACZA		PC	04	73083000		73			0	3/28/1995	17.00		
1	06.01.653-7	BPAD  -217X075X12 APACZA		PC	04	73083000		73			0	6/29/2010	17.00		
1	1122	ITEM 1122		PC	90	00000000		00			0	1/1/2011	0.00		
1	13C	ITEM CONTROLE CONSIGNADO		KG	90	11081200		11			0	6/22/2011	17.00		
1	13CC	ITEM CONTROLE CONSIGNADO 2		PC	90	73083000		73			0	7/25/2011	17.00		
1	13D	ITEM D¿BITO DIRETO		PC	90	00000000		00	103		0	6/22/2011	18.00		
1	13F	ITEM CONTROLE TOTAL		KG	90	73083000		73			0	6/22/2011	17.00		
1	13FF	ITEM CONTROLE FISICO		KG	90	11081200		11	103		0	7/7/2011	17.00		
1	13T	ITEM CONTROLE TOTAL		KG	90	11081200		11			0	6/22/2011	17.00		
1	13TL	ITEM CONTROLE TOTAL - LOTE		KG	90	73083000		73			0	6/22/2011	17.00		
1	21.21.101-0	JVBSG-100X120X12-6 APDPRA/VLS		PC	04	73083000		73			0	7/27/2000	17.00		
1	21.21.102-8	JVBSG-100X150X12-6 APDPRA/VLS		PC	04	73083000		73			0	7/27/2000	17.00		
1	21.21.103-6	JVBSG-100X200X12-6 APDPRA/VLS		PC	04	73083000		73			0	8/30/2004	17.00		
1	21.21.112-5	JVBSG-120X150X12-6 APDPRA/VLS		PC	04	73083000		73			0	11/7/2000	17.00		
