Estabelecimento	Número do Documento	Série	Participante	Nat. Operação	Data Documento	Item	Seq. Item	Cod. Modelo Ult. Entr.	Num. Doc Ult. Entr.	Série Ult. Entr.	Data Ult. Entr.	Participante Ult. Entr.	Qtd Ult. Entr	Vlr Unit. Ult. Entr	Vlr Unit. BC ST	Chave NFE Ult. Entr.	Num. Item Ult. Entr.	Vlr Unit. BC ICMS Ult. Entr.	Aliq. ICMS Ult. Entr.	Vlr Lim. BC Ult. Entr.	Vlr Unit. ICMS Ult. Entr.	Aliq. ST Ult. Entr.	Vlr Unit. Ressarcto	Cod. Responsável Ret.	Cod. Motivo Ressarcto	Chave NFE Ret.	Participante NFE Ret.	Série NFE Ret.	Num. NFE Ret.	Item NFE Ret.	Cód. Docum. Arrecad.	Num. Docum. Arrecad.
1	0000011	UN	1	611TB	8/10/2011	13F	20	01	0003001	1	8/9/2011	4	5.00	65.00	81.25		20	65.00	7.00	65.00	4.55	25.00	15.76	1	1						1	
1	0290854	11	1	699STA	8/15/2011	40F	10	01	0004590	1	8/12/2011	1438010070113	15.00	41.00	41.00		10	41.00	7.00	41.00	2.87	13.00	2.46	1	1						1	
1	0076274	5	81	611OTF	8/10/2011	DD	30	01	0001002	1	8/1/2011	13	10.00	24.00	24.00		30	24.00	7.00	24.00	1.68	17.00	2.40	1	1						1	
1	0076275	5	70	699OTR	8/10/2011	DD	30	01	0001002	1	8/1/2011	13	10.00	24.00	24.00		30	24.00	7.00	24.00	1.68	17.00	2.40	1	1						1	
1	0076317	5	81	6123	8/12/2011	DD	30	01	0001002	1	8/1/2011	13	10.00	24.00	24.00		30	24.00	7.00	24.00	1.68	17.00	2.40	1	1						1	
1	0076329	5	1	6123	8/12/2011	DD	10	01	0001002	1	8/1/2011	13	10.00	24.00	24.00		30	24.00	7.00	24.00	1.68	17.00	2.40	1	1						1	
1	0076331	5	70	6123	8/12/2011	DD	10	01	0001002	1	8/1/2011	13	10.00	24.00	24.00		30	24.00	7.00	24.00	1.68	17.00	2.40	1	1						1	
1	0290852	11	13	699STA	8/15/2011	.COMPRAS	10	01	0004589	1	8/12/2011	13	4.00	160.00	160.00		10	160.00	7.00	160.00	11.20	17.00	16.00	1	1						1	
1	0290852	11	13	699STA	8/15/2011	.DANF-E	20	01	0004589	1	8/12/2011	13	10.00	189.00	189.00		20	189.00	7.00	189.00	13.23	13.00	11.34	1	1						1	
1	0290853	11	1	699STA	8/15/2011	40F	10	01	0004590	1	8/12/2011	1438010070113	15.00	41.00	41.00		10	41.00	7.00	41.00	2.87	13.00	2.46	1	1						1	
1	0290853	11	1	699STA	8/15/2011	40T	20	01	0004590	1	8/12/2011	1438010070113	9.00	20.00	20.00		20	20.00	7.00	20.00	1.40	15.00	1.60	1	1						1	
1	0290854	11	1	699STA	8/15/2011	40T	20	01	0004590	1	8/12/2011	1438010070113	9.00	20.00	20.00		20	20.00	7.00	20.00	1.40	15.00	1.60	1	1						1	
1	0071101	5	13	610110	8/20/2011	40T	10	01	0201701	1	8/18/2011	13	13.00	100.00	100.00		10	0.00	7.00	0.00	0.00	15.00	15.00	1	1						1	
1	0071104	5	13	611SC	8/20/2011	40F	20	01	0201703	1	8/18/2011	13	10.00	26.00	26.00		10	0.00	7.00	0.00	0.00	13.00	3.38	1	1						1	
1	0071105	5	13	611SC	8/20/2011	.COMPRAS.FISICO	20	01	0001003	1	8/5/2011	1438010070113	3.00	25.00	25.00		20	25.00	7.00	25.00	1.75	12.00	1.25	1	1						1	
1	20161101	5	13	611JEC	8/20/2011	40F	10	01	0201703	1	8/18/2011	13	10.00	26.00	26.00		10	0.00	7.00	0.00	0.00	13.00	3.38	1	1						1	
1	0076726	5	70	6123	8/31/2011	13F	20	01	0201701	1	8/23/2011	1	2.00	78.00	78.00		20	0.00	7.00	0.00	0.00	25.00	19.50	1	1						1	
1	0076727	5	81	6123	8/31/2011	13F	20	01	0201701	1	8/23/2011	1	2.00	78.00	78.00		20	0.00	7.00	0.00	0.00	25.00	19.50	1	1						1	
1	0076729	5	22	6123	8/31/2011	DD	30	01	0201701	1	8/18/2011	13	5.00	30.00	30.00		30	0.00	7.00	0.00	0.00	17.00	5.10	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	40F	20	01	0004590	1	8/12/2011	1438010070113	15.00	41.00	41.00		10	41.00	7.00	41.00	2.87	13.00	2.46	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	40F	20	01	0201701	1	8/23/2011	1	2.00	300.00	300.00		10	0.00	7.00	0.00	0.00	13.00	39.00	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	40F	20	01	0201703	1	8/18/2011	13	10.00	26.00	26.00		10	0.00	7.00	0.00	0.00	13.00	3.38	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	40F	20	01	0201704	1	8/23/2011	13	2.00	1000.00	1250.00		20	0.00	7.00	0.00	0.00	13.00	162.50	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	.COMPRAS	30	01	0201704	1	8/23/2011	13	2.00	300.00	393.75		10	0.00	7.00	0.00	0.00	17.00	66.94	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	.DANFE	50	01	0201701	1	8/18/2011	13	3.00	67.90	67.90		20	0.00	7.00	0.00	0.00	7.00	4.75	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	40T	60	01	0201701	1	8/18/2011	13	13.00	100.00	100.00		10	0.00	7.00	0.00	0.00	15.00	15.00	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	.DANFE-TAMANHOCP	70	01	0201703	1	8/18/2011	13	6.00	100.00	100.00		20	0.00	7.00	0.00	0.00	0.00	0.00	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	.DANF-E	80	01	0000896	1	8/16/2011	13	100.00	30.00	30.00		10	30.00	7.00	30.00	2.10	13.00	1.80	1	1						1	
1	0290857	11	13	611-IE	8/31/2011	.COMPRAS.FISICO	90	01	0001003	1	8/5/2011	1438010070113	3.00	25.00	25.00		20	25.00	7.00	25.00	1.75	7.00	0.00	1	1						1	
