Estabelecimento	Série	Nota Fiscal	Emitente	Nat. Operação	Data NF	Sequência	Item	Descrição	Valor Total	Conta Contábil	Centro de Custo	Quantidade	Unidade Medida	Origem	Código Serviço	Registro de Exportação	Tipo de Serviço
1	5	0076175	81	699OTR	8/1/2011	1	13T	ITEM CONTROLE TOTAL	21000.00	511110100000101	010702030000203	200.00	KG	1			
1	5	0076175	81	699OTR	8/1/2011	2	13C	ITEM CONTROLE CONSIGNADO	8430.00	511110100000101	010702010000201	100.00	KG	1			
1	5	0076175	81	699OTR	8/1/2011	3	13FF	ITEM CONTROLE FISICO	87.53	511110100000101	010702010000201	6.67	KG	1			
1	5	0076175	81	699OTR	8/1/2011	4	P2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	1296.00	511110100000101	010702010000201	2.00	KG	0			
1	5	0076176	70	611FAF	8/1/2011	1	13F	ITEM CONTROLE TOTAL	693.34	112110500000105	010701010000101	6.67	KG	1			
1	5	0076176	70	611FAF	8/1/2011	2	13FF	ITEM CONTROLE FISICO	87.53	112110500000105	010701010000101	6.67	KG	1			
1	5	0076176	70	611FAF	8/1/2011	3	13T	ITEM CONTROLE TOTAL	31500.00	112110500000105	010701010000101	300.00	KG	1			
1	5	0076176	70	611FAF	8/1/2011	4	P2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	1296.00	112110500000105	010701010000101	2.00	KG	0			
1	5	0076177	70	699FAR	8/1/2011	1	13F	ITEM CONTROLE TOTAL	693.34	511110100000101	010702010000201	6.67	KG	1			
1	5	0076177	70	699FAR	8/1/2011	2	13T	ITEM CONTROLE TOTAL	31500.00	511110100000101	010702030000203	300.00	KG	1			
1	5	0076178	12704	51dfar	8/1/2011	1	06.01.038-5	BPAE       -280X05 APACZA	5.00			25.00	pc	0			
1	5	0076179	70	611EFF	8/1/2011	1	13FF	ITEM CONTROLE FISICO	43.77	112110500000105	010701010000101	3.33	KG	1			
1	5	0076179	70	611EFF	8/1/2011	2	13T	ITEM CONTROLE TOTAL	21000.00	112110500000105	010701010000101	200.00	KG	1			
1	un	0076668	12704	111far	8/1/2011	1	06.01.038-5	BPAE       -280X05 APACZA	0.00	112501000000010	010701010000101	50.00	pc	0			
1	graos	0108001	90000032	2322	8/1/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	0.78	112510100000101	660004010000004	1.00	KG	0			
1	graos	0108001	90000032	2322	8/1/2011	2	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	2.68	112510100000101	660004010000004	4.00	KG	0			
1	1	0108004	90000032	210202	8/1/2011	1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	670.00	112510100000101	660004010000004	1000.00	KG	0			
1	graos	0108005	90000032	210202	8/1/2011	1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	670.00	112510100000101	660004010000004	1000.00	KG	0			
1	graos	0108006	90000032	2322	8/1/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	0.67	112510100000101	660004010000004	5.00	KG	0			
1	graos	0801002	90000032	2322	8/1/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3.35	112510100000101	660004010000004	5.00	KG	0			
1	graos	0801003	90000032	2322	8/1/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3.35	112510100000101	660004010000004	5.00	KG	0			
1	15	1234567894	70	6123	8/1/2011	1	13t	ITEM CONTROLE TOTAL	210.00	112110500000105	010701010000101	2.00	KG	1			
1	15	1234567894	70	6123	8/1/2011	2	13f	ITEM CONTROLE TOTAL	104.00	112110500000105	010701010000101	1.00	KG	1			
1	15	1234567894	70	6123	8/1/2011	3	13ff	ITEM CONTROLE FISICO	26.26	112110500000105	010701010000101	2.00	KG	1			
1	15	1234567894	70	6123	8/1/2011	4	p2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	216.00	112110500000105	010701010000101	2.00	KG	0			
1	graos	2011080101	90000032	210202	8/1/2011	1	MILHO	MILHO EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3391.67	112510100000101	660004010000004	10000.00	KG	0			
1	graos	2907003	90000032	2322	8/1/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	0.73	112510100000101	660004010000004	5.00	KG	0			
1	graos	2907003	90000032	2322	8/1/2011	2	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	0.73	112510100000101	660004010000004	5.00	KG	0			
1	un	0000008	12704	59932	8/2/2011	1	.compras	.Compras - Projeto 87	125.00	511110100000101	010702010000201	25.00	pc	1			
1	1	0001501	12704	111far	8/5/2011	1	.compras	.Compras - Projeto 87	0.00	211050400000601	010702080000208	3.00	PC	1			
1	un	0000009	12704	599999	8/2/2011	1	.COMPRAS	.Compras - Projeto 87	150.00	511110100000101	010702010000201	15.00	pc	1			
1	un	0000010	12704	19932	8/2/2011	1	.compras	.Compras - Projeto 87	25.00	112500100000001	010702080000208	5.00	pc	1			
1	1	0001302	12704	111faf	8/2/2011	1	.compras	.Compras - Projeto 87	121.00	413050100000502	010701010000101	11.00	PC	1			
1	un	0010811	12704	111eff	8/2/2011	1	.compras.lote	.Compras Controle Lote - Projeto 87	15.00	413050100000502	010701010000101	15.00	pc	1			
1	5	0020800	81	211BRM	8/2/2011	1	13ff	ITEM CONTROLE FISICO	10000.00	112110500000105	010701010000101	2000.00	KG	1			
1	5	0020800	81	211BRM	8/2/2011	2	13t	ITEM CONTROLE TOTAL	12000.00	112510100000101	010701010000101	2000.00	KG	1			
1	1	0020801	90000033	210202	8/2/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	20000.00	112510100000101	660004010000004	50000.00	KG	0			
1	1	0020803	90000033	210202	8/2/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	12000.00	112510100000101	660004010000004	30000.00	KG	0			
1	UN	0020811	12704	111eff	8/2/2011	1	.compras	.Compras - Projeto 87	300.00	413050100000502	010701010000101	50.00	PC	1			
1	un	0020811	12704	19933	8/2/2011	2	.compras	.Compras - Projeto 87	50.00	112500100000001	010702080000208	10.00	PC	1			
1	un	0020811	12704	199999	8/2/2011	3	.COMPRAS	.Compras - Projeto 87	100.00	112500100000001	010702080000208	10.00	pc	1			
1	5	0076180	70	699brt	8/2/2011	1	40T	ITEM CONTROLE TOTAL	10.00	511110100000101	010702030000203	1.00	KG	1			
1	5	0076180	70	699brt	8/2/2011	2	13FF	ITEM CONTROLE FISICO	2.00	511110100000101	010702010000201	2.00	KG	1			
1	5	0076181	70	611faf	8/2/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112110500000105	010701010000101	1.00	KG	1			
1	5	0076182	70	611faf	8/2/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112110500000105	010701010000101	1.00	KG	1			
1	5	0076183	81	699brt	8/2/2011	1	13ff	ITEM CONTROLE FISICO	5.00	511110100000101	010702010000201	1.00	KG	1			
1	5	0076183	81	699brt	8/2/2011	2	13t	ITEM CONTROLE TOTAL	6.00	511110100000101	010702010000201	1.00	KG	1			
1	5	0076184	12704	51DFAR	8/2/2011	1	06.01.038-5	BPAE       -280X05 APACZA	5.00	511110100000101	010702010000201	25.00	pc	0			
1	5	0076185	12704	51dfar	8/2/2011	1	06.01.038-5	BPAE       -280X05 APACZA	10.00	511110100000101	010702010000201	50.00	pc	0			
1	5	0076186	12704	51dfar	8/2/2011	1	06.01.038-5	BPAE       -280X05 APACZA	10.00			50.00	pc	0			
1	5	0076730	83	611FAF	8/31/2011	8	13C	ITEM CONTROLE CONSIGNADO	121250.00			5.00	KG	1			
1	5	0076187	70	611faf	8/2/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112110500000105	010701010000101	1.00	KG	1			
1	5	0076188	90000033	612-de	8/2/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	16500.00	511110100000101	010702010000201	41250.00	KG	0			
1	5	0076189	70	611faf	8/2/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112110500000105	010701010000101	1.00	KG	1			
1	5	0076191	12704	53134	8/2/2011	1	13t	ITEM CONTROLE TOTAL	250.00	511110100000101	010702010000201	25.00	KG	1			
1	5	0076192	12704	53134	8/2/2011	1	13t	ITEM CONTROLE TOTAL	250.00	511110100000101	010702010000201	25.00	KG	1			
1	5	0076193	70	699BRT	8/2/2011	1	40T	ITEM CONTROLE TOTAL	10.00	511110100000101	010702010000201	1.00	KG	1			
1	5	0076193	70	699BRT	8/2/2011	2	13FF	ITEM CONTROLE FISICO	1.00	511110100000101	010702010000201	1.00	KG	1			
1	5	0076193	70	611ser	8/2/2011	1	13d	ITEM D¿BITO DIRETO	102.00	112110500000105	010701010000101	1.00	pc	1			
1	5	0076194	70	611faf	8/2/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112110500000105	010701010000101	1.00	KG	1			
1	5	0076195	70	611rfa	8/2/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	511110100000101	010702010000201	1.00	KG	1			
1	graos	0208001	90000032	2322	8/2/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3.35	112510100000101	660004010000004	5.00	KG	0			
1	graos	0208002	90000032	2322	8/2/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3.35	112510100000101	660004010000004	5.00	KG	0			
1	graos	0208003	90000032	2322	8/2/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3.35	112510100000101	660004010000004	5.00	KG	0			
1	graos	0208004	90000032	2322	8/2/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	0.67	112510100000101	660004010000004	5.00	KG	0			
1	graos	0208006	90000032	2322	8/2/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3.35	112510100000101	660004010000004	5.00	KG	0			
1	graos	0208007	90000032	2322	8/2/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3.35	112510100000101	660004010000004	5.00	KG	0			
1	1	0208111	90000033	210202	8/2/2011	1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	467660.01	112510100000101	660004010000004	698000.00	KG	0			
1	5	0208112	90000033	210206	8/2/2011	1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	1340.00	112510100000101	660004010000004	2000.00	KG	0			
1	11	0290836	70	611tb	8/2/2011	1	.danfe-tributado	.DANFE-TRIBUTADO.DANFE-TRIBUTADO.DANFE-TRIBUTADO.DANFE-TRIB	100.00	112110500000105	010701010000101	100.00	un	0			
1	11	0290837	70	611tb	8/2/2011	1	.danfe-tributado	.DANFE-TRIBUTADO.DANFE-TRIBUTADO.DANFE-TRIBUTADO.DANFE-TRIB	120.00	112110500000105	010701010000101	120.00	un	0			
1	11	0290838	70	6123	8/2/2011	1	13t	ITEM CONTROLE TOTAL	210.00	112110500000105	010701010000101	2.00	KG	1			
1	11	0290839	13	611faf	8/2/2011	1	13t	ITEM CONTROLE TOTAL	210.00	112110500000105	010701010000101	2.00	KG	1			
1	11	0290854	1	699sta	8/15/2011	2	40t	ITEM CONTROLE TOTAL	73.34			4.00	KG	1			
1	1	0001500	12704	111faf	8/3/2011	1	.compras	.Compras - Projeto 87	400.00	413050100000502	010701010000101	20.00	PC	1			
1	11	0290857	13	611-IE	8/31/2011	1	13F	ITEM CONTROLE TOTAL	1000.00			1.00	KG	1			
1	graos	0014141	90000033	210202	8/3/2011	1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	6700.00	112510100000101	660004010000004	10000.00	KG	0			
1	5	0076196	70	6123	8/3/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112210600000106	010702030000203	1.00	KG	1			
1	5	0076196	70	6123	8/3/2011	10	p3	ITEM COMPOSTO - PAI E FILHOS BAIXAM ESTOQUE	109.00	112210600000106	010702030000203	1.00	KG	0			
1	5	0076196	70	6123	8/3/2011	2	13cc	ITEM CONTROLE CONSIGNADO 2	23.45	112210600000106	010702030000203	1.00	PC	0			
1	5	0076196	70	6123	8/3/2011	3	13f	ITEM CONTROLE TOTAL	104.00	112210600000106	010702030000203	1.00	KG	1			
1	5	0076196	70	6123	8/3/2011	4	13d	ITEM D¿BITO DIRETO	102.00	112210600000106	010702030000203	1.00	pc	1			
1	5	0076196	70	6123	8/3/2011	5	13ff	ITEM CONTROLE FISICO	13.13	112210600000106	010702030000203	1.00	KG	1			
1	5	0076196	70	6123	8/3/2011	6	13t	ITEM CONTROLE TOTAL	105.00	112210600000106	010702030000203	1.00	KG	1			
1	5	0076196	70	6123	8/3/2011	7	ref	ITEM CONTROLE POR REFERENCIA	102.00	112210600000106	010702030000203	1.00	KG	0			
1	5	0076196	70	6123	8/3/2011	8	p1	ITEM COMPOSTO - PAI BAIXA ESTOQUE - FILHOS N?O	107.00	112210600000106	010702030000203	1.00	KG	0			
1	graos	0508001	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	78.00	112510100000101	660004010000004	100.00	KG	0			
1	5	0076196	70	6123	8/3/2011	9	p2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	108.00	112210600000106	010702030000203	1.00	KG	0			
1	5	0076197	70	611faf	8/3/2011	1	13c	ITEM CONTROLE CONSIGNADO	101.00	112110500000105	010701010000101	1.00	KG	1			
1	un	0077777	12704	1112	8/3/2011	1	13t	ITEM CONTROLE TOTAL	500.00	112510100000101	010701010000101	50.00	KG	1			
1	un	0088881	12704	111far	8/3/2011	1	06.01.653-7	BPAD  -217X075X12 APACZA	0.00	112501000000010	010701010000101	20.00	pc	0			
1	5	0308111	90000033	220202	8/3/2011	1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	4020.00	112510100000101	660004010000004	100.00	KG	0			
1	5	3032014	13	625101	8/3/2011	1	.compras	.Compras - Projeto 87	2500.00	511110100000101	010702010000201	1.00	pc	1			
1	5	4032014	13	6128	8/3/2011	1	DD	Material D.Direto - TRIBUTADO	10000.00	511110100000101	010702010000201	1.00	pc	0			
1	5	5032014	13	625101	8/3/2011	1	.compras	.Compras - Projeto 87	1000.00			1.00	pc	1			
1	5	0080804	90000033	210204	8/8/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	647.50	112510100000101	660004010000004	0.00	KG	0			
1	5	6032014	13	6127	8/3/2011	1	.compras	.Compras - Projeto 87	5000.00	511110100000101	010702010000201	2.00	pc	0			
1	5	6032014	13	6127	8/3/2011	2	.compras.fisico	.Compras Controle Fisico - Projeto 87	1000.00	511110100000101	010702030000203	1.00	pc	0			
1	1	0001305	12704	111faf	8/4/2011	1	.compras	.Compras - Projeto 87	175.00	413050100000503	010701010000101	35.00	PC	1			
1	1	0001307	12704	111far	8/4/2011	1	.compras	.Compras - Projeto 87	0.00	112500100000001	010702080000208	35.00	PC	1			
1	1	0001308	12704	111faf	8/4/2011	1	.compras	.Compras - Projeto 87	175.00	413050100000503	010701010000101	35.00	PC	1			
1	11	0290857	13	6101	8/31/2011	10	13d	ITEM D¿BITO DIRETO	200.00			1.00	pc	1			
1	1	0001309	12704	111far	8/4/2011	1	.compras	.Compras - Projeto 87	0.00	211050400000601	010702080000208	35.00	PC	1			
1	un	0004100	1	211mri	8/4/2011	1	13d	ITEM D¿BITO DIRETO	1000.00	112112000000120	010702090000209	1.00	pc	1			
1	5	0040800	70	211BRM	8/4/2011	1	13C	ITEM CONTROLE CONSIGNADO	10000.00	112510100000101	010701010000101	1000.00	KG	1			
1	5	0040800	70	211BRM	8/4/2011	2	13FF	ITEM CONTROLE FISICO	10000.00	112110500000105	010701010000101	1000.00	KG	1			
1	5	0040800	70	211BRM	8/4/2011	3	13T	ITEM CONTROLE TOTAL	10000.00	112510100000101	010701010000101	1000.00	KG	1			
1	5	0040800	81	211BRM	8/4/2011	1	13C	ITEM CONTROLE CONSIGNADO	10000.00	112510100000101	010701010000101	1000.00	KG	1			
1	5	0040800	81	211BRM	8/4/2011	2	13T	ITEM CONTROLE TOTAL	1000.00	112510100000101	010701010000101	1000.00	KG	1			
1	5	0040800	81	211BRM	8/4/2011	3	P2	ITEM COMPOSTO - PAI N?O BAIXA ESTOQUE -  FILHOS BAIXAM	1000.00	112510100000101	010701010000101	100.00	KG	0			
1	1	0040801	90000033	210202	8/4/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	8000.00	112510100000101	660004010000004	20000.00	KG	0			
1	1	0040802	90000033	210202	8/4/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	6000.00	112510100000101	660004010000004	15000.00	KG	0			
1	1	0040803	90000033	210202	8/4/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	6000.00	112510100000101	660004010000004	15000.00	KG	0			
1	un	0040811	12704	111eff	8/4/2011	1	.compras	.Compras - Projeto 87	2500.00	413050100000502	010701010000101	500.00	PC	1			
1	1	0080402	90000033	210202	8/4/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	16000.00	112510100000101	660004010000004	40000.00	KG	0			
1	11	0290842	70	611rfa	8/4/2011	1	13TL	ITEM CONTROLE TOTAL - LOTE	636.00			6.00	KG	0			
1	11	0290843	70	6123	8/4/2011	1	13f	ITEM CONTROLE TOTAL	208.00			2.00	KG	1			
1	11	0290844	81	6123	8/4/2011	1	13t	ITEM CONTROLE TOTAL	210.00			2.00	KG	1			
1	graos	0000016	90000032	210201	8/5/2011	1	SOJA	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	3015.00	112510100000101	660004010000004	4500.00	KG	0			
1	1	0000200	13	211sto	8/5/2011	1	.compras.fisico	.Compras Controle Fisico - Projeto 87	3690.00	413290100000901	010702020000202	10.00	pc	1			
1	1	0000200	13	211sto	8/5/2011	2	.DANF-e	.DANF-e	690.00	112510100000101		10.00	KG	0			
1	1	0001003	1	211sto	8/5/2011	1	.compras	.Compras - Projeto 87	30.00	211050400000601	010702080000208	1.00	pc	1			
1	1	0001003	1	211sto	8/5/2011	2	.compras.fisico	.Compras Controle Fisico - Projeto 87	75.00	413290100000901	010702020000202	3.00	pc	1			
1	1	0001003	1	211sto	8/5/2011	3	.DANF-e	.DANF-e	600.00	112510100000101		15.00	un	0			
1	1	0001503	12704	111far	8/5/2011	1	.compras	.Compras - Projeto 87	0.00	211050400000601	010702080000208	2.00	PC	1			
1	GRAOS	0012345	90000033	210202	8/5/2011	1	MILHO	MILHO EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	186.54	112510100000101	660004010000004	550.00	KG	0			
1	1	0050801	90000033	210202	8/5/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	17606.67	112510100000101	660004010000004	40000.00	KG	0			
1	5	0050802	90000033	210204	8/5/2011	1	TRIGO	TRIGO A GRANEL - ORIGINACAO DE GRAOS	647.50	112510100000101	660004010000004	0.00	KG	0			
1	un	0050810	40001	11111	8/5/2011	1	abjc-100	ALAVANCA COM BOTAO MONTADO	7.80	113015800000158	010702010000201	1.00	pc	1			
1	un	0050811	12704	111eff	8/5/2011	1	.COMPRAS	.Compras - Projeto 87	574.22	413050100000502	010701010000101	248.00	PC	1			
1	un	0050811	40001	11111	8/5/2011	1	abjc-100	ALAVANCA COM BOTAO MONTADO	70.00	112500100000001	990801020000102	7.00	pc	1			
1	un	0088883	12704	111far	8/5/2011	1	02.01.002-0	QFXLV-060X100X08-1 APACZA	0.00	112501000000010	010701010000101	50.00	pc	0			
1	un	0088884	12704	111far	8/5/2011	1	02.01.002-0	QFXLV-060X100X08-1 APACZA	0.00	112501000000010	010701010000101	50.00	pc	0			
1	graos	0108002	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	78.00	112510100000101	660004010000004	100.00	KG	0			
1	graos	0108003	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	78.00	112510100000101	660004010000004	100.00	KG	0			
1	graos	0108005	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	0.78	112510100000101	660004010000004	100.00	KG	0			
1	UN	0112233	255	11111	8/5/2011	1	DD	Material D.Direto - TRIBUTADO	5000000.00	311311311312113		10.00	pc	0			
1	un	0123456	1	11111	8/5/2011	1	ka02l	Karine ka02l LOTE	1.00	112510100000101	010701010000101	1.00	PC	0			
1	11	0290845	70	6123	8/5/2011	1	13t	ITEM CONTROLE TOTAL	210.00			2.00	KG	1			
1	graos	0508002	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	78.00	112510100000101	660004010000004	100.00	KG	0			
1	graos	0508003	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	40.20	112510100000101	660004010000004	60.00	KG	0			
1	graos	0508003	90000032	2322	8/5/2011	2	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	31.20	112510100000101	660004010000004	40.00	KG	0			
1	graos	0508004	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	33.50	112510100000101	660004010000004	50.00	KG	0			
1	graos	0508004	90000032	2322	8/5/2011	2	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	39.00	112510100000101	660004010000004	50.00	KG	0			
1	graos	0508005	90000032	2322	8/5/2011	1	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	39.00	112510100000101	660004010000004	50.00	KG	0			
1	graos	0508005	90000032	2322	8/5/2011	2	soja	SOJA EM GRAOS A GRANEL - ORIGINACAO DE GRAOS	55.50	112510100000101	660004010000004	50.00	KG	0			
1	un	0000005	1	11111	8/8/2011	1	.compras	.Compras - Projeto 87	1.00	112110500000105	010702020000202	1.00	pc	1			
1	1	0001311	12704	111faf	8/8/2011	1	.compras	.Compras - Projeto 87	164.00	413050100000503	010701010000101	41.00	PC	1			
