0008272         -1     -    74237           3.622,50            3.150,00            3.150,00               51,98              239,40
0021735         -      -    70134           2.573,01            2.339,10            2.339,10               38,59              177,77
0023220         -3     -    70215          27.151,16           26.762,20           26.762,20              441,58            2.033,92
0047919         -4     -    70166             565,80              565,80              565,80                9,34               43,00
0097690         -16    -    74545          19.510,85           18.581,76           18.581,76              306,60            1.412,21
0132073         -1     -    75469             876,19              796,54              796,54               13,14               60,54
0762288         -1     -    77322          30.246,01           28.805,72           28.805,72              475,29            2.189,23
0762289         -1     -    77322          32.827,38           31.264,17           31.264,17              515,86            2.376,08
0762291         -1     -    77322          62.504,67           59.528,26           59.528,26              982,22            4.524,15
0001743         -1     -    74170          13.327,23           11.889,96           11.889,96              196,20              903,63
0015567         -1     -    73777           1.097,80              998,00              998,00               16,47               75,85
0027943         -1     -    75315          16.121,11           15.353,44           15.353,44              253,32            1.166,87
0027957         -1     -    75315           2.585,62            2.462,50            2.462,50               40,63              187,15
0027958         -1     -    75315           1.412,25            1.345,00            1.345,00               22,19              102,22
0027959         -1     -    75315          22.219,61           21.161,53           21.161,53              349,16            1.608,27
0027966         -1     -    75315           1.459,50            1.390,00            1.390,00               22,94              105,64
0027967         -1     -    75315           1.060,50            1.010,00            1.010,00               16,67               76,76
0027968         -1     -    75315           4.779,81            4.552,20            4.552,20               75,11              345,97
0027969         -1     -    75315           2.358,30            2.246,00            2.246,00               37,06              170,70
0027970         -1     -    75315           3.595,67            3.424,44            3.424,44               56,50              260,26
0027971         -1     -    75315           3.811,49            3.629,99            3.629,99               59,89              275,88
0027972         -1     -    75315           2.396,62            2.282,50            2.282,50               37,66              173,47
-------------------------------------------------------------------------------------DATASUL - OBRIGAÇÕES - OF0770RP - V:2.00.00.027
FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      2


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

0027973         -1     -    75315           3.490,20            3.324,00            3.324,00               54,84              252,63
0027974         -1     -    75315             428,86              408,44              408,44                6,74               31,04
0032144         -1     -    75194             731,59              696,75              696,75               11,50               52,95
0032145         -1     -    75194          46.218,15           42.016,50           42.016,50              693,28            3.193,25
0032146         -1     -    75194           3.108,00            3.108,00            3.108,00               51,28              236,21
0134606         -2     -    75543          68.201,87                0,00                0,00            1.125,33            5.183,34
0134842         -2     -    75543          88.620,55                0,00                0,00            1.461,04            6.729,63
0134843         -2     -    75543          71.421,15                0,00                0,00            1.124,85            5.181,13
0003087         -1     -    76969           2.938,48            2.555,20            2.555,20               42,16              194,20
0003088         -1     -    76969           3.122,14            2.714,90            2.714,90               44,80              206,33
0023363         -3     -    70215          35.588,75           34.529,50           34.529,50              569,72            2.624,24
0004593         -1     -    77525           7.414,06            6.447,00            6.447,00              106,38              489,97
0004600         -1     -    77525           7.703,28            6.698,50            6.698,50              110,53              509,09
0017236         -1     -    74040           1.563,98            1.421,80            1.421,80               23,46              108,06
0028025         -1     -    75315           1.294,12            1.232,50            1.232,50               20,34               93,67
0028026         -1     -    75315           1.854,71            1.766,39            1.766,39               29,15              134,25
0028027         -1     -    75315           5.491,50            5.230,00            5.230,00               86,29              397,48
0028028         -1     -    75315           6.284,23            5.984,98            5.984,98               98,76              454,86
0028029         -1     -    75315           6.635,96            6.319,96            6.319,96              104,28              480,32
0028060         -1     -    75315           6.352,50            6.050,00            6.050,00               99,84              459,80
0028061         -1     -    75315          14.695,11           13.995,34           13.995,34              230,93            1.063,65
0028076         -1     -    75315          12.009,63           11.437,74           11.437,74              188,72              869,27
0028077         -1     -    75315           3.809,40            3.628,00            3.628,00               59,86              275,73
0028078         -1     -    75315           3.257,62            3.102,50            3.102,50               51,19              235,79
0028079         -1     -    75315           1.399,12            1.332,50            1.332,50               21,99              101,27
0028080         -1     -    75315           1.078,88            1.027,50            1.027,50               16,95               78,09
0039655         -1     -    73101           1.071,90            1.071,90            1.071,90               17,69               81,46
0039656         -1     -    73101           1.561,87            1.561,87            1.561,87               25,78              118,70
0039657         -1     -    73101           6.630,83            6.630,83            6.630,83              109,41              503,94
0039658         -1     -    73101           2.735,16            2.735,16            2.735,16               45,13              207,87
0039659         -1     -    73101           1.833,60            1.833,60            1.833,60               30,25              139,35
0039660         -1     -    73101             874,15              874,15              874,15               14,41               66,44
0084645         -1     -    78432           1.857,48            1.615,20            1.615,20               26,66              122,75
0003099         -1     -    76969           3.532,18            3.071,45            3.071,45               50,68              233,44
0003100         -1     -    76969             407,08              353,98              353,98                5,84               26,90
0015637         -1     -    73777           6.252,95            5.684,50            5.684,50               93,79              432,02
0015638         -1     -    73777          33.525,40           30.477,64           30.477,64              502,89            2.316,30
0015639         -1     -    73777          20.622,97           18.748,15           18.748,15              309,35            1.424,86
0028125         -1     -    75315           1.498,88            1.427,50            1.427,50               23,55              108,49
0028126         -1     -    75315          13.586,15           12.939,19           12.939,19              213,51              983,38
0028127         -1     -    75315           6.904,27            6.575,50            6.575,50              108,50              499,74
0028156         -1     -    75315           1.816,50            1.730,00            1.730,00               28,55              131,48
0028157         -1     -    75315           7.126,87            6.787,49            6.787,49              111,99              515,85
0046408         -1     -    74575          19.551,00           18.620,00           18.620,00              307,23            1.415,12
0003107         -1     -    76969           3.245,04            2.821,78            2.821,78               46,56              214,46
0004309         -1     -    70183           8.359,20            7.740,00            7.740,00              127,71              588,24
0028234         -1     -    75315           1.545,59            1.471,99            1.471,99               24,29              111,87
0084680         -1     -    78432           1.857,48            1.615,20            1.615,20               26,66              122,75
0769563         -1     -    77322          32.501,31           30.953,63           30.953,63              510,73            2.352,48
0769564         -1     -    77322          60.065,88           57.205,60           57.205,60              943,89            4.347,63
1112                                    1.106.347,64          833.093,04          833.093,04           17.509,96           80.651,59
COMPRA DE INSUMOS

0001762         -      -    78334           1.590,11            1.590,11            1.590,11               26,24              120,85
0000068         -1     -    76267           1.195,40            1.195,40            1.195,40               19,72               90,86
-------------------------------------------------------------------------------------DATASUL - OBRIGAÇÕES - OF0770RP - V:2.00.00.027
FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      3


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

0000789         -1     -    78512              69,30               69,30               69,30                1,14                5,27
0029130         -1     -    76902           1.991,46            1.991,46            1.991,46               32,86              151,35
0000071         -1     -    76267           1.195,40            1.195,40            1.195,40               19,72               90,86
0000181         -1     -    75715           1.950,04            1.950,04            1.950,04               32,18              148,18
0000182         -1     -    75715           6.009,00            6.009,00            6.009,00               99,16              456,70
0000539         -1     -    73100           1.590,00            1.590,00            1.590,00               26,24              120,84
0000540         -1     -    73100           2.285,00            2.285,00            2.285,00               37,71              173,66
0000541         -1     -    73100             300,00              300,00              300,00                4,95               22,80
0000542         -1     -    73100             908,50              908,50              908,50               15,00               69,05
0000543         -1     -    73100             140,00              140,00              140,00                2,31               10,64
1113                                       19.224,21           19.224,21           19.224,21              317,23            1.461,06
COMPRA DE INSUMOS

0002344         -1     -    77601          12.309,00           12.309,00           12.309,00              203,14              935,50
0002378         -1     -    77601           6.260,00            6.260,00            6.260,00              103,31              475,75
0001145         -1     -        1             330,00              330,00              330,00                5,45               25,08
1115                                       18.899,00           18.899,00           18.899,00              311,90            1.436,33
COMPRA DE INSUMOS

0000701         -1     -    78118           1.000,00                0,00                0,00                0,00                0,00
111a1                                       1.000,00                0,00                0,00                0,00                0,00


0001345         -1     -        1             110,00              110,00              110,00                1,82                8,36
111FAF                                        110,00              110,00              110,00                1,82                8,36
Faturamento Antecipado - Fatura

1.101      TOTAL                        1.146.508,35          871.326,25          871.326,25           18.140,91           83.557,34
COMPRA DE INSUMOS

0000712         -2     -    77222           3.125,00            3.125,00            3.125,00               51,57              237,50
11314                                       3.125,00            3.125,00            3.125,00               51,57              237,50
INDUSTR.EFET. P/TERCEIROS

1.124      TOTAL                            3.125,00            3.125,00            3.125,00               51,57              237,50
INDUST. EFEF.  OUTRA EMPRESA

0001510         -1     -        1             160,00              160,00              160,00                2,64               12,16
1322                                          160,00              160,00              160,00                2,64               12,16
DEVOLUCAO

1.202      TOTAL                              160,00              160,00              160,00                2,64               12,16
DEVOLUCAO DE MERCADORIAS

0015875         -u     -    71402              83,83                0,00                0,00                0,00                0,00
0016057         -u     -    71402              50,67                0,00                0,00                0,00                0,00
0016259         -u     -    71402              37,28                0,00                0,00                0,00                0,00
1621os                                        171,78                0,00                0,00                0,00                0,00


0743221         -u     -    76552              76,21               76,21               76,21                1,26                5,79
0082246         -u     -    75126              64,83               64,83               64,83                1,07                4,93
0733007         -u     -    70382              14,57               14,57               14,57                0,24                1,11
0082293         -u     -    75126             110,85              110,85              110,85                1,83                8,42
0082296         -u     -    75126              43,80               43,80               43,80                0,72                3,33
-------------------------------------------------------------------------------------DATASUL - OBRIGAÇÕES - OF0770RP - V:2.00.00.027
FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      4


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

0082298         -u     -    75126              45,00               45,00               45,00                0,74                3,42
0082299         -u     -    75126             111,89              111,89              111,89                1,85                8,50
0082300         -u     -    75126              78,20               78,20               78,20                1,29                5,94
0016286         -u     -    71402              70,41               70,41               70,41                1,16                5,35
0016312         -u     -    71402             147,32              147,32              147,32                2,43               11,20
0082328         -u     -    75126              47,09               47,09               47,09                0,78                3,58
0720915         -u     -    70382              93,15               93,15               93,15                1,54                7,08
0016655         -u     -    71402           1.363,64            1.363,64            1.363,64               22,50              103,63
0082365         -u     -    75126             100,41              100,41              100,41                1,66                7,63
0733347         -u     -    70382             100,39              100,39              100,39                1,66                7,63
16230                                       2.467,76            2.467,76            2.467,76               40,73              187,54
FRETE DE INSUMOS

0000202         -c1    -    77105           2.204,54            2.204,54            2.204,54               36,37              167,55
16231                                       2.204,54            2.204,54            2.204,54               36,37              167,55
AQUIS. SERV. DE TRANSPORTE

0000044         -c1    -    70686           1.940,00            1.940,00            1.940,00               32,01              147,44
0000070         -c1    -    77681           3.030,00            3.030,00            3.030,00               50,00              230,28
0000083         -c1    -    70686           2.960,00            2.960,00            2.960,00               48,84              224,96
16235                                       7.930,00            7.930,00            7.930,00              130,85              602,68
AQUIS. SERV. DE TRANSPORTE

0000477         -b1    -    77785             500,00              500,00              500,00                8,25               38,00
0000479         -b1    -    77785             550,00              550,00              550,00                9,08               41,80
1626                                        1.050,00            1.050,00            1.050,00               17,33               79,80
FRETE DE INSUMOS

0015521         -U     -    71402              61,36                0,00                0,00                0,00                0,00
0725926         -u     -    70382              85,44                0,00                0,00                0,00                0,00
0736060         -U     -    70382              86,18                0,00                0,00                0,00                0,00
0016084         -u     -    71402              51,42                0,00                0,00                0,00                0,00
0016089         -u     -    71402              54,08                0,00                0,00                0,00                0,00
0016575         -u     -    71402              52,52                0,00                0,00                0,00                0,00
162950                                        391,00                0,00                0,00                0,00                0,00


0641796         -u     -    78327           2.352,78                0,00                0,00                0,00                0,00
0641797         -u     -    78327           2.352,78                0,00                0,00                0,00                0,00
162953                                      4.705,56                0,00                0,00                0,00                0,00


1.352      TOTAL                           18.920,64           13.652,30           13.652,30              225,28            1.037,57
AQUISICAO  SERV. TRANSP.

0016283         -2     -    75229             609,00              609,00              609,00               10,05               46,28
1114                                          609,00              609,00              609,00               10,05               46,28
COMPRA DE INSUMOS

1.401      TOTAL                              609,00              609,00              609,00               10,05               46,28
COMPRA DE INSUMOS

0132384         -1     -    77577           5.153,25            5.153,25            5.153,25                0,00                0,00
0132545         -1     -    77577             117,60              117,60              117,60                0,00                0,00
0132884         -1     -    77577             762,75              762,75              762,75                0,00                0,00
-------------------------------------------------------------------------------------DATASUL - OBRIGAÇÕES - OF0770RP - V:2.00.00.027
FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      5


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

0003981         -2     -    72063             630,00              630,00              630,00                0,00                0,00
1932os                                      6.663,60            6.663,60            6.663,60                0,00                0,00
COMPRA P/ATIVO IMOBILIZADO

1.406      TOTAL                            6.663,60            6.663,60            6.663,60                0,00                0,00
COMPRA P/ ATIVO - ST

0001353         -1     -    70228              77,50                0,00                0,00                0,00                0,00
0000050         -1     -    78425             465,50                0,00                0,00                0,00                0,00
0000679         -2     -    78513             220,26                0,00                0,00                0,00                0,00
0000680         -2     -    78513             104,26                0,00                0,00                0,00                0,00
0001334         -      -    74554             678,10                0,00                0,00                0,00                0,00
0041917         -2     -    70001             300,00                0,00                0,00                0,00                0,00
0002904         -      -    78625             405,54                0,00                0,00                0,00                0,00
0672689         -1     -    72804             900,03                0,00                0,00                0,00                0,00
0000738         -1     -    77509              90,69                0,00                0,00                0,00                0,00
0001423         -      -    74554           1.160,00                0,00                0,00                0,00                0,00
0002490         -1     -    77476             864,00                0,00                0,00                0,00                0,00
0003440         -2     -    70736              20,00                0,00                0,00                0,00                0,00
0005914         -2     -    78581              66,69                0,00                0,00                0,00                0,00
0000607         -1     -    72486             130,00                0,00                0,00                0,00                0,00
0001428         -      -    74554             320,00                0,00                0,00                0,00                0,00
0001647         -4     -    70613             462,15                0,00                0,00                0,00                0,00
0003436         -2     -    70736             295,00                0,00                0,00                0,00                0,00
19713                                       6.559,72                0,00                0,00                0,00                0,00


1.407      TOTAL                            6.559,72                0,00                0,00                0,00                0,00
COMPRA MAT/ USO OU CONSUMO - ST

0075799         -5     -    19071           1.805,84            1.701,70            1.701,70               28,08              129,33
131ste                                      1.805,84            1.701,70            1.701,70               28,08              129,33
DEVOL. DE PROD DO ESTABEL-ST

1.410      TOTAL                            1.805,84            1.701,70            1.701,70               28,08              129,33
DEVOLUÇÃO DE PRODUTOS

0001116         -1     -        1             140,00                0,00                0,00                0,00                0,00
1551R1                                        140,00                0,00                0,00                0,00                0,00


0007275         -2     -    73499           3.197,88            3.045,60            3.045,60                0,00                0,00
1911os                                      3.197,88            3.045,60            3.045,60                0,00                0,00
COMPRA P/ATIVO IMOBILIZADO

0000089         -1     -    71092           2.840,00            2.840,00            2.840,00               46,86              215,84
0000064         -1     -    76897           2.600,00            2.600,00            2.600,00               42,90              197,60
1914os                                      5.440,00            5.440,00            5.440,00               89,76              413,44
COMPRA P/ATIVO IMOBILIZADO

0076298         -4     -    73090             404,23              351,50              351,50                5,80               26,72
1918os                                        404,23              351,50              351,50                5,80               26,72
COMPRA P/ATIVO IMOBILIZADO

0004056         -10    -    76702             473,00              473,00              473,00                7,84               35,94
-------------------------------------------------------------------------------------DATASUL - OBRIGAÇÕES - OF0770RP - V:2.00.00.027
FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      6


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

1929os                                        473,00              473,00              473,00                7,84               35,94
COMPRA P/ATIVO IMOBILIZADO

0031044         -1     -    75365           6.643,35            6.643,35            6.643,35                0,00                0,00
0076298         -4     -    73090           1.830,16            1.591,44            1.591,44                0,00                0,00
0031328         -1     -    75365           3.341,10            3.341,10            3.341,10                0,00                0,00
0003122         -2     -    72484           4.653,24            4.046,30            4.046,30                0,00                0,00
193os                                      16.467,85           15.622,19           15.622,19                0,00                0,00
COMPRA P/ATIVO IMOBILIZADO

1.551      TOTAL                           26.122,96           24.932,29           24.932,29              103,40              476,10
COMPRA PARA ATIVO IMOBILIZADO

0001409         -1     -        1             275,00              275,00              275,00                4,54               20,90
1032                                          275,00              275,00              275,00                4,54               20,90
COMPRAS DE INSUMOS

0005766         -1     -    72858             717,78                0,00                0,00                0,00                0,00
0012307         -1     -    74528           1.659,00                0,00                0,00                0,00                0,00
0029488         -      -    78452             348,96                0,00                0,00                0,00                0,00
0021451         -1     -    72359             580,29                0,00                0,00                0,00                0,00
0076298         -4     -    73090             357,65                0,00                0,00                0,00                0,00
0076334         -4     -    73090             116,82                0,00                0,00                0,00                0,00
1971                                        3.780,50                0,00                0,00                0,00                0,00


0000867         -1     -    75470              19,50                0,00                0,00                0,00                0,00
0000504         -1     -    77172           2.724,11                0,00                0,00                0,00                0,00
0000679         -2     -    78513               3,83                0,00                0,00                0,00                0,00
0000680         -2     -    78513               3,83                0,00                0,00                0,00                0,00
0000064         -1     -    76897              92,00                0,00                0,00                0,00                0,00
0002904         -      -    78625              47,00                0,00                0,00                0,00                0,00
0029488         -      -    78452           2.901,55                0,00                0,00                0,00                0,00
0000065         -1     -    76897             450,00                0,00                0,00                0,00                0,00
0076334         -4     -    73090              16,53                0,00                0,00                0,00                0,00
0001075         -1     -    74792           4.635,00                0,00                0,00                0,00                0,00
0005182         -100   -    77515             444,00                0,00                0,00                0,00                0,00
0000601         -1     -    72486             130,00                0,00                0,00                0,00                0,00
0005914         -2     -    78581             375,08                0,00                0,00                0,00                0,00
0001647         -4     -    70613               2,85                0,00                0,00                0,00                0,00
19710                                      11.845,28                0,00                0,00                0,00                0,00


0000127         -2     -    78532              26,00                0,00                0,00                0,00                0,00
0351554         -2     -    73204               3,00                0,00                0,00                0,00                0,00
0000275         -      -    78657              66,70                0,00                0,00                0,00                0,00
0001353         -1     -    70228             191,00                0,00                0,00                0,00                0,00
0001334         -      -    74554             127,50                0,00                0,00                0,00                0,00
0000068         -1     -    76897           4.500,00                0,00                0,00                0,00                0,00
0000167         -      -    78706           1.842,00                0,00                0,00                0,00                0,00
0005107         -      -    73620             495,00                0,00                0,00                0,00                0,00
0009101         -      -    74558             396,00                0,00                0,00                0,00                0,00
0000804         -55    -    77047             400,00                0,00                0,00                0,00                0,00
0001579         -      -    77702             610,50                0,00                0,00                0,00                0,00
0000620         -1     -    75386              70,00                0,00                0,00                0,00                0,00
-------------------------------------------------------------------------------------DATASUL - OBRIGAÇÕES - OF0770RP - V:2.00.00.027
FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      7


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

19712                                       8.727,70                0,00                0,00                0,00                0,00


0000867         -1     -    75470             350,85                0,00                0,00                0,00                0,00
19730                                         350,85                0,00                0,00                0,00                0,00


1.556      TOTAL                           24.979,33              275,00              275,00                4,54               20,90
COMPRA MAT/ USO OU CONSUMO

0028404         -6     -    74004           5.546,00            5.546,00            5.546,00               91,51              421,50
165421                                      5.546,00            5.546,00            5.546,00               91,51              421,50
COMPRA DE COMBUSTIVEL - MP

1.651      TOTAL                            5.546,00            5.546,00            5.546,00               91,51              421,50
COMPRA DE COMBUSTIVEL

0000408         -3     -    78716             107,00                0,00                0,00                0,00                0,00
0101934         -1     -    75617             136,38                0,00                0,00                0,00                0,00
0102089         -1     -    75617             105,70                0,00                0,00                0,00                0,00
0000123         -1     -    78717              89,25                0,00                0,00                0,00                0,00
0000199         -1     -    78201              66,00                0,00                0,00                0,00                0,00
0006631         -2     -    78342             139,01                0,00                0,00                0,00                0,00
0006511         -1     -    78272             225,37                0,00                0,00                0,00                0,00
0000700         -1     -    78118             129,02                0,00                0,00                0,00                0,00
0001057         -1     -    76545             119,96                0,00                0,00                0,00                0,00
0000104         -1     -    78206             141,71                0,00                0,00                0,00                0,00
0000105         -1     -    78206             123,90                0,00                0,00                0,00                0,00
0033364         -      -    78721             827,60                0,00                0,00                0,00                0,00
165122                                      2.210,90                0,00                0,00                0,00                0,00


0005265         -2     -    78720             107,00                0,00                0,00                0,00                0,00
0000679         -2     -    78513             169,00                0,00                0,00                0,00                0,00
0000680         -2     -    78513             169,00                0,00                0,00                0,00                0,00
0001334         -      -    74554              12,00                0,00                0,00                0,00                0,00
0002233         -1     -    73674             130,97                0,00                0,00                0,00                0,00
0000418         -1     -    70912             118,50                0,00                0,00                0,00                0,00
0002308         -1     -    73674             157,00                0,00                0,00                0,00                0,00
0000495         -1     -    70912             111,26                0,00                0,00                0,00                0,00
0000776         -1     -    78106             177,01                0,00                0,00                0,00                0,00
16553                                       1.151,74                0,00                0,00                0,00                0,00


1.653      TOTAL                            3.362,64                0,00                0,00                0,00                0,00
COMPRA DE COMBUSTIVEL

0000068         -1     -    76267             100,00                0,00                0,00                0,00                0,00
0000071         -1     -    76267             100,00                0,00                0,00                0,00                0,00
0000539         -1     -    73100             120,00                0,00                0,00                0,00                0,00
0000540         -1     -    73100             160,00                0,00                0,00                0,00                0,00
0000541         -1     -    73100              20,00                0,00                0,00                0,00                0,00
0000711         -2     -    77222           1.017,68                0,00                0,00                0,00                0,00


-------------------------------------------------------------------------------------DATASUL - OBRIGAÇÕES - OF0770RP - V:2.00.00.027
FIRMA : Estabelecimento TOTVS - Ñ ALTERAR CONTAS      INSCR. EST. - 255721161           C.N.P.J. - 53113791001790       FOLHA      8


PERÍODO  - 01/05 A 31/05/2011                      APURAÇÃO DE PIS/COFINS NAS ENTRADAS - NORMAL

CÓDIGO                                    VALOR             BASE DE             BASE DE     VALOR PIS/PASEP        VALOR COFINS
FISCAL                                 CONTÁBIL         CÁLCULO PIS      CÁLCULO COFINS

19421                                       1.517,68                0,00                0,00                0,00                0,00


1.902      TOTAL                            1.517,68                0,00                0,00                0,00                0,00
RETORNO DE MERC. INDUST.

0672690         -1     -    72804              38,49                0,00                0,00                0,00                0,00
199110                                         38,49                0,00                0,00                0,00                0,00


0000102         -      -    78683           5.900,00                0,00                0,00                0,00                0,00
199161                                      5.900,00                0,00                0,00                0,00                0,00


1.910      TOTAL                            5.938,49                0,00                0,00                0,00                0,00
ENTRADA DE BONIFICACAO

0000257         -1     -    73981           7.000,00                0,00                0,00                0,00                0,00
0000393         -1     -    78645           6.000,00                0,00                0,00                0,00                0,00
199982                                     13.000,00                0,00                0,00                0,00                0,00
