LF0202RP                              2.00.01.080    MLF\LF02                      12/02/20  11:23:29
LF0203GAM                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GAP                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GBA                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GCE                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GDF                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GES                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GGO                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GMA                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GMG                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GMS                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GMT                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GPA                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GPB                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GPE                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GPI                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GPR                             2.00.00.001    lf0202d                       12/02/20  11:23:33
LF0203GRJ                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0203GRN                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0203GRO                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0203GRR                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0203GRS                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0203GSC                             2.00.00.002    lf0202d                       12/02/20  11:23:34
LF0203GSE                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0203GSP                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0203GTO                             2.00.00.001    lf0202d                       12/02/20  11:23:34
LF0202A                               2.00.01.091    lf0202rp                      12/02/20  11:23:35
LF0202B                               2.00.01.083    lf0202rp                      12/02/20  11:23:35
LF0202C                               2.00.00.016    lf0202rp                      12/02/20  11:23:35
     PonLFAPI074 - 02.a - b-dwf-estab.cod-estab = 1                                                         
     PonLFAPI074 - 02.b - b-dwf-estab.cod-estab-centrdor = 1                                                
     Pon?                                                                                                   
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:35
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
UT-PERC                               3.00.00.002    lf0202rp                      12/02/20  11:23:36
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:36
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:23:37
UT-ACOMP                              2.00.00.003    lf0202rp                      12/02/20  11:24:52
LF0202J                               2.00.00.049    lf0202rp                      12/02/20  11:24:53
api_controle_cta_ctbl                     prgint/utb/utb743za.py    1.00.00.009    12/02/20  11:24:53
UT-TRFRRP                             2.00.00.008    lf0202j                       12/02/20  11:24:53
CD9970                                2.00.00.005    lf0202j                       12/02/20  11:24:53
UT-ACOMP                              2.00.00.003    lf0202j                       12/02/20  11:24:53
LFAPI072                              2.00.00.035    lf0202j                       12/02/20  11:24:53
CDAPI704                              2.00.00.013    lfapi072                      12/02/20  11:24:53
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:53
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:53
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
LF0202K                               2.00.00.020    lf0202j                       12/02/20  11:24:54
BTB009ZA                              2.00.00.003    lf0202rp                      12/02/20  11:24:55
