Nota Fiscal Saída							Nota Fiscal Entrada							Item			Valores															
Data	Número	Série	Emitente	Nat. Oper	Seq.	Quantidade	Data	Número	Série	Emitente	Nat. Oper	Seq.	Quant Ult Entr	Cód. Item	Família	NCM	Vl Unit Ult Entr	Vl Unit Bc ST	Vl Unit Bc ICMS Ult Entr	Aliq ICMS Ult Entr	Vl Unit Limite BC ICMS Ult E	Vl Unit ICMS Ult Entr	Aliq ST Ult Entr	Vl Unit Res	Cod Resp Ret	Cod Mot Res	Cod Part Nfe Ret	Ser Nfe Ret	Num Nfe Ret	Item Nfe Ret	Cod Da	Num Da
15/08/2011	0290853	11	1	699sta	10	5	12/08/2011	0004590	1	1	211sto	10	15	40f	11122	73083000	41	41	41	7	41	2.87	13	2.46	1	1				0	-1	
15/08/2011	0290853	11	1	699sta	20	3	12/08/2011	0004590	1	1	211sto	20	9	40t	11122	73083000	20	20	20	7	20	1.4	15	1.6	1	1				0	-1	
15/08/2011	0290854	11	1	699sta	10	4	12/08/2011	0004590	1	1	211sto	10	15	40f	11122	73083000	41	41	41	7	41	2.87	13	2.46	1	1				0	-1	
15/08/2011	0290854	11	1	699sta	20	4	12/08/2011	0004590	1	1	211sto	20	9	40t	11122	73083000	20	20	20	7	20	1.4	15	1.6	1	1				0	-1	
20/08/2011	0071101	5	13	610110	10	1	18/08/2011	0201701	1	13	2staou	10	13	40t	11122	73083000	100	100	100	7	100	7	15	8	1	1				0	-1	
20/08/2011	0071104	5	13	611sc	20	1	18/08/2011	0201703	1	13	2staou	10	10	40f	11122	73083000	26	26	26	7	26	1.82	13	1.56	1	1				0	-1	
20/08/2011	0071105	5	13	611sc	20	2	05/08/2011	0001003	1	1	211sto	20	3	.compras.fisico	20.032	73089090	25	25	25	7	25	1.75	12	1.25	1	1				0	-1	
20/08/2011	20161101	5	13	611jec	10	1	18/08/2011	0201703	1	13	2staou	10	10	40f	11122	73083000	26	26	26	7	26	1.82	13	1.56	1	1				0	-1	
31/08/2011	0076726	5	70	6123	20	1	23/08/2011	0201701	1	1	2staou	20	2	13f	11122	73083000	78	78	78	7	78	5.46	25	14.04	1	1				0	-1	
31/08/2011	0076727	5	81	6123	20	1	23/08/2011	0201701	1	1	2staou	20	2	13f	11122	73083000	78	78	78	7	78	5.46	25	14.04	1	1				0	-1	
31/08/2011	0076729	5	22	6123	30	11	18/08/2011	0201701	1	13	2staou	30	5	DD	FM-00	00000000	30	30	30	7	30	2.1	17	3	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	20	15	23/08/2011	0201704	1	13	21stou	20	2	40f	11122	73083000	1000	1250	1000	7	1000	70	13	92.5	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	20	13	23/08/2011	0201701	1	1	2staou	10	2	40f	11122	73083000	300	300	300	7	300	21	13	18	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	20	11	18/08/2011	0201703	1	13	2staou	10	10	40f	11122	73083000	26	26	26	7	26	1.82	13	1.56	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	20	3	12/08/2011	0004590	1	1	211sto	10	15	40f	11122	73083000	41	41	41	7	41	2.87	13	2.46	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	30	3	23/08/2011	0201704	1	13	21stou	10	2	.compras	20.032	73089090	300	393.75	315	7	315	22.05	17	44.8875	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	50	1	18/08/2011	0201701	1	13	2staou	20	3	.danfe	11122	73083000	67.9	67.9	67.9	7	67.9	4.753	7	0	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	60	6	18/08/2011	0201701	1	13	2staou	10	13	40t	11122	73083000	100	100	100	7	100	7	15	8	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	70	4	18/08/2011	0201703	1	13	2staou	20	6	.DANFE-TamanhoCP	11122	34031900	100	100	100	7	100	7	0	0	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	80	41	16/08/2011	0000896	1	13	211STO	10	100	.DANF-e	11122	73083000	30	30	30	7	30	2.1	13	1.8	1	1				0	-1	
31/08/2011	0290857	11	13	611-IE	90	1	05/08/2011	0001003	1	1	211sto	20	3	.compras.fisico	20.032	73089090	25	25	25	7	25	1.75	7	0	1	1				0	-1	
